label-keyword-freq-sum-idf.txt,lda_5_0.01_0.001,Score
19,3,0.06126191205060091
19,2,0.010689074358417795
19,1,0.03254863944363665
19,0,0.004194643146156317
19,4,0.19850586140702792
17,3,0.2740068388652839
17,2,0.0111556373980222
17,1,0.02588624501958516
17,0,0.004684803301466843
17,4,0.2667804500659709
18,3,0.3644693115089788
18,2,0.0192479080226057
18,1,0.010935563255712401
18,0,0.0027153054401104965
18,4,0.41054533363403145
15,3,0.5050387657808417
15,2,0.01883969592257059
15,1,0.03743834042971474
15,0,0.019111364253639393
15,4,0.1717613115769032
16,3,0.7735245755192034
16,2,0.005313208359112408
16,1,0.09835803481836898
16,0,0.018959216820316364
16,4,0.00932214612669375
13,3,0.008397378608542394
13,2,0.02130334171935037
13,1,0.003208007869592633
13,0,0.12464098482783194
13,4,0.5152870433390031
14,3,0.4594694300531826
14,2,0.02349856389783385
14,1,0.025672625876557612
14,0,0.01414159552293813
14,4,0.11619017246263
11,3,0.6310915684834337
11,2,0.008715844456808614
11,1,0.022500325343012256
11,0,0.01185170699704213
11,4,0.02353205120015148
12,3,0.01965240852269432
12,2,0.013288275095893332
12,1,0.007959707944696378
12,0,0.008631002119606903
12,4,0.2591909713100176
21,3,0.012373451834139283
21,2,0.03933464023588622
21,1,0.10546965269436992
21,0,0.12499495231047009
21,4,0.353841008777095
20,3,0.010263463009456197
20,2,0.04157235029835722
20,1,0.2393448781193041
20,0,0.16360677950828417
20,4,0.24113766798756422
22,3,0.012788657780297084
22,2,0.006659771591792613
22,1,0.002666243662196644
22,0,0.014888764487477215
22,4,0.24468259572932177
23,3,0.06669365695612689
23,2,0.01928639122039099
23,1,0.033367574845575246
23,0,0.04417678952180179
23,4,0.5400191652378936
24,3,0.046988465854719025
24,2,0.04861234602356931
24,1,0.049387782366741184
24,0,0.017097299799079233
24,4,0.5350239340286539
25,3,0.0562117546733836
25,2,0.0718457100728771
25,1,0.028358355495459134
25,0,0.02600782780158396
25,4,0.3555852463340602
26,3,0.15993575675232746
26,2,0.011996695791194894
26,1,0.03012002016435156
26,0,0.01994528023833371
26,4,0.007673099788364892
27,3,0.1367114055022987
27,2,0.052058905205656036
27,1,0.014880607125549023
27,0,0.19625349103146858
27,4,0.024545934087770487
28,3,0.03828359018671478
28,2,0.03673200548953969
28,1,0.3584916392321735
28,0,0.006461753371816754
28,4,0.17047590039804825
3,3,0.08543992842788585
3,2,0.0339068979492144
3,1,0.036587682416420804
3,0,0.927423335601298
3,4,0.13362074762278894
2,3,0.04391704890022206
2,2,0.030691983303115174
2,1,0.20186173447910255
2,0,0.9752934680436043
2,4,0.18583092504450283
10,3,0.07035356583126677
10,2,0.05075948263641529
10,1,0.9866599282694173
10,0,0.0468817625126098
10,4,0.11074675480738287
1,3,0.07890244627473768
1,2,0.03049323356477952
1,1,0.1478893266449975
1,0,0.9878287227559838
1,4,0.1633591470984932
7,3,0.9428893154859617
7,2,0.01992906055979778
7,1,0.2192236890752328
7,0,0.01901403355467956
7,4,0.12843708962621697
6,3,0.021617972294707872
6,2,0.0745650424646757
6,1,0.02698610665557769
6,0,0.016060438766362397
6,4,0.04910254930810999
5,3,0.051544258948424695
5,2,0.09053300552132458
5,1,0.02696818925562608
5,0,0.02682333904677966
5,4,0.0843631397454297
4,3,0.08492820395561895
4,2,0.02914266385617814
4,1,0.031664613304542163
4,0,0.9126536189928615
4,4,0.07195629590983856
9,3,0.01858217750568624
9,2,0.02050312823967595
9,1,0.39262898366112425
9,0,0.019525631533278846
9,4,0.0932200746157043
8,3,0.3351946609669163
8,2,0.02339326148848142
8,1,0.5541801921226015
8,0,0.24419566400499
8,4,0.09940830398571153
