silver-infovis-topics--userA.txt,lda_20_0.001_0.001,Score
A13,16,0.002334506427733818
A13,13,0.018238689537827438
A13,14,0.0014038626195008025
A13,11,0.001329740009836608
A13,12,0.0027656776208598577
A13,3,0.19314133937029146
A13,2,0.003838758923935553
A13,1,0.12982288886860746
A13,10,0.005540242742386673
A13,0,0.0633858611043411
A13,7,0.21173074031586264
A13,6,0.26542680960619625
A13,5,0.004422784901416131
A13,4,0.006828235593494963
A13,9,0.0023846636708437785
A13,8,0.00463134903167701
A12,19,0.03777150430789151
A12,17,0.014631231132479673
A12,18,0.18497881841165176
A12,15,0.0484184981530724
A12,16,0.06167326012802017
A12,13,0.329712155610043
A12,14,0.11614889792786147
A12,11,0.0032287365300659454
A12,12,0.037927886895069304
A12,3,0.004942344628333519
A12,2,0.15177517102899687
A12,1,0.013691322716978543
A12,10,0.008519005093287737
A12,0,0.00957247281639768
A12,7,0.010860814136722505
A12,6,0.012630068975236055
A12,5,0.010504600329311749
A12,4,0.005790752938134058
A12,9,0.09996347835318793
A12,8,0.03512880706920603
A15,19,0.09945259050846907
A15,17,0.031522309647047386
A15,18,0.3790595399576003
A15,15,0.06145539356416242
A15,16,0.01987271980826233
A15,13,0.024588504485066984
A15,14,0.003106712524198463
A15,11,0.015665719315327068
A15,12,0.005744191081841544
A15,3,0.03695712896839896
A15,2,0.17058218062842762
A15,1,7.264144156140891E-4
A15,10,0.002623000040875383
A15,0,0.006579940060989867
A15,7,0.06237811438868185
A15,6,0.012759806325588154
A15,5,0.2868957098075074
A15,4,0.029357347408915616
A15,9,0.00374824912313532
A15,8,0.004283663672226917
A06,19,0.010852874127036562
A06,17,0.09292446776914558
A06,18,0.06320962245725929
A06,15,0.15007190631609568
A06,16,0.6198147407085329
A06,13,0.11687291587978146
A06,14,0.27338667983787
A06,11,0.06686749996843462
A06,12,0.01754481590612422
A06,3,0.031783152449525294
A06,2,0.05877161108747236
A06,1,0.007479497739239131
A06,10,0.05781529274950564
A06,0,0.03384674559389071
A06,7,0.057377451773627026
A06,6,0.041070626279810604
A06,5,0.006659375358228174
A06,4,0.10333538784374253
A06,9,0.021316117559682626
A06,8,0.01945124452197544
A14,19,0.7191546702583397
A14,17,4.0861954130833663E-4
A14,18,0.1310410272537484
A14,15,7.016561687559935E-4
A14,16,0.0024316094210331406
A14,13,0.20830034989156446
A14,14,0.001598114892682781
A14,11,0.008452495433856575
A14,12,8.472626806952765E-4
A14,3,0.002268048499620476
A14,2,0.0028193862101565247
A14,1,0.0013557638843319387
A14,10,0.001064059182186764
A14,0,0.0019572280347744586
A14,7,0.003236260764116007
A14,6,0.20263334127196725
A14,5,0.0037571084977023107
A14,4,0.002017372137971254
A14,9,0.002970984213911378
A14,8,0.010084103562974492
A05,19,0.1379931073268953
A05,17,0.3209236868780052
A05,18,0.0013969809566723268
A05,15,5.171303906809433E-4
A05,16,0.0011970837311963136
A05,13,0.008781085187182992
A05,14,0.0022057334284496283
A05,11,0.0994891394308554
A05,12,8.616398731839389E-4
A05,3,0.004429401800711305
A05,2,0.002395328689935743
A05,1,0.906963514350922
A05,10,0.0022113077985972166
A05,0,0.00122923134323265
A05,7,0.05007642892954533
A05,6,0.22794090737346442
A05,5,0.13742295417196793
A05,4,0.006087151425985062
