silver-infovis-topics--userA.txt,lda_40_0.001_0.1,Score
A20,19,0.0012287000247130718
A20,35,0.0022913293017243434
A20,17,0.003904511458301137
A20,36,0.006643202141357303
A20,18,0.001308278538770069
A20,33,0.0032831798433241963
A20,15,0.005867876025939639
A20,34,0.35340772353078054
A20,16,0.0015126888287440659
A20,39,0.0017477343534745308
A20,13,5.945833770986407E-4
A20,14,9.075590754409299E-4
A20,37,0.012006723644526427
A20,11,0.001931050965644733
A20,38,0.002006501948802464
A20,12,0.0015396895228755383
A20,21,0.3065078015828108
A20,20,0.0036067345987202764
A20,22,6.255730992327924E-4
A20,23,0.29061294958642125
A20,24,0.006156907313807568
A20,25,0.0017255917828697361
A20,26,0.001614127328307139
A20,27,0.0033203488330869326
A20,28,0.003666005893987557
A20,29,0.003930962758892511
A20,3,9.813629052499967E-4
A20,2,0.0036570439969082565
A20,10,0.0019355773876296573
A20,1,0.005122832844375289
A20,0,0.014953336640243417
A20,7,0.0024650348113570875
A20,30,0.11137187666766142
A20,6,0.0017252019028029487
A20,5,0.00400664221465962
A20,32,0.0017798026259083076
A20,4,0.002294069065773869
A20,31,0.46583126616357984
A20,9,0.0016688020883812112
A20,8,0.006412470553285141
A19,19,0.2993791264820518
A19,35,3.026719617959404E-4
A19,17,0.5164305820140626
A19,36,0.06031982512277061
A19,18,0.001128455095308417
A19,33,0.0026803988850313113
A19,15,0.0012537558145042315
A19,34,0.0014486334739144736
A19,16,0.6690154687495194
A19,39,0.00267073431519158
A19,13,0.002597242599104894
A19,14,3.726232038291504E-4
A19,37,8.821445747677937E-5
A19,11,7.940188277317812E-4
A19,38,0.016094502316144347
A19,12,0.8970126632703006
A19,21,5.959042894792512E-4
A19,20,1.8877980798965357E-4
A19,22,7.785082112332565E-4
A19,23,0.002577736221846941
A19,24,0.10197683438018772
A19,25,0.045413971987574984
A19,26,0.011156844950611481
A19,27,0.004109938813650122
A19,28,0.0027342301788409996
A19,29,0.007058660711881061
A19,3,0.03835383123572276
A19,2,7.234807089689532E-4
A19,10,0.048463946226220495
A19,1,4.4254851981686465E-4
A19,0,0.17583713882366606
A19,7,4.366134679717628E-4
A19,30,9.760899657320249E-4
A19,6,0.0015066561721565274
A19,5,0.8086054004123937
A19,32,0.0018689592088980262
A19,4,0.06489621732264388
A19,31,0.0036411252826466663
A19,9,0.03939438293169623
A19,8,0.14140398704916804
A18,19,0.0022401877818671763
A18,35,0.00191877662480266
A18,17,0.03149377362196557
A18,36,0.00310776370271941
A18,18,0.18301557426349027
A18,33,0.003255099159918067
A18,15,0.0019928230059614777
A18,34,0.002538386655964863
A18,16,0.001739867611464054
A18,39,0.0020446514011531517
A18,13,0.0011561631241577453
A18,14,0.001725222059783142
A18,37,0.0028610731226785127
A18,11,7.813025303172706E-4
A18,38,0.010172468620655163
A18,12,0.004942607937022768
A18,21,0.01048216832604002
A18,20,3.055105793110786E-4
A18,22,0.0016212051113384325
A18,23,0.004202641456887435
A18,24,5.113462061980619E-4
A18,25,0.003411764853670331
A18,26,0.8395708531126334
A18,27,0.0036843367822697094
A18,28,0.003402669527336956
A18,29,0.002837597993099323
A18,3,0.0038854689354973462
A18,2,0.002168551027214619
A18,10,0.01221851437614415
A18,1,0.0010120782844374354
A18,0,5.071547709735957E-4
A18,7,0.0021272780306504525
A18,30,0.37139994661261927
A18,6,0.0039170700987699895
A18,5,0.0035329452129567907
A18,32,0.002044511357674666
A18,4,0.005859676029960542
A18,31,0.0017188693290367365
A18,9,0.001316340606483371
A18,8,0.007682400163808938
A09,19,4.3755659162226065E-4
A09,35,4.2470326983407974E-4
A09,17,7.842994586455262E-4
A09,36,0.0015470111625415573
A09,18,0.014725597944886837
A09,33,0.06780336461104991
A09,15,0.02409775990772615
A09,34,0.0020450437550453755
A09,16,7.54428080896807E-4
A09,39,0.014368742012915731
A09,13,0.0013462985206178786
A09,14,3.749337425213737E-4
A09,37,7.131241287161519E-5
A09,11,0.0016053148318684654
A09,38,0.0851841794635474
A09,12,0.0010663832653142343
A09,21,0.0766053185446936
A09,20,1.3195692413649839E-4
A09,22,9.477105043236356E-4
A09,23,0.003214112291005657
A09,24,0.0021293148995682586
A09,25,0.001965807324624262
A09,26,0.0016542267745253707
A09,27,6.14493126169755E-4
A09,28,9.239674841248606E-4
A09,29,0.002847034058817776
A09,3,7.049701856388146E-4
A09,2,0.007498866469498721
A09,10,0.04314746618396017
A09,1,5.723219155061393E-4
A09,0,7.371692242476512E-4
A09,7,8.794793029830017E-4
