silver-infovis-topics--userG.txt,lda_50_0.1_0.1,Score
G14,40,0.00476310519987941
G14,22,0.0022741607623967056
G14,23,0.0031988364083420833
G14,24,0.0032456750914500706
G14,25,0.00657946453307266
G14,26,0.002353483592478258
G14,27,6.491493210863393E-4
G14,28,0.0026215368601017535
G14,29,0.001365132155937419
G14,3,0.0012713434691749405
G14,2,0.0010541972411462351
G14,1,0.0029010215414146485
G14,0,0.02175819889876139
G14,30,0.020418974627811105
G14,7,0.025566859956609712
G14,6,0.0025471976427593984
G14,32,0.00276891439510453
G14,5,0.0019926963998140087
G14,31,0.00648614448310445
G14,4,0.0019527285152413315
G14,9,0.025635694341010668
G14,8,8.986034850936635E-4
G14,19,0.001448729240902336
G14,17,0.002940100991439008
G14,18,0.0014049726904925917
G14,15,0.006157364016276499
G14,16,0.07381141683016659
G14,13,0.002009543428540401
G14,14,7.311468868591657E-4
G14,11,0.9827116590917917
G14,12,0.0016914274877310276
G14,21,0.010415062415877396
G14,20,6.311346456772633E-4
G14,49,0.003085494198725331
G14,48,0.0033276207969252097
G14,45,0.16638250771287227
G14,44,0.032517062603539586
G14,47,0.003820756953246803
G14,46,0.004724199845541992
G14,10,0.03622929217013517
G01,35,0.06266085443920133
G01,36,9.288331327674906E-4
G01,33,6.173637262220136E-4
G01,34,3.8877041375119626E-4
G01,39,0.004640248354921535
G01,37,0.0011203047578289863
G01,38,3.007852909536312E-4
G01,43,5.905917368244663E-4
G01,42,5.831954115246432E-4
G01,41,3.637075655706747E-4
G01,40,5.285455687297661E-4
G01,22,0.0010431319033281552
G01,23,0.0013816814665703646
G01,24,0.0013424413435766014
G01,25,0.001027404874763184
G01,26,0.010939893012532308
G01,27,2.685925700043016E-4
G01,28,0.0014029694244412734
G01,29,0.0010161238358526222
G01,3,0.003204178006738983
G01,2,1.6153141225489097E-4
G01,1,0.0011867803865006712
G01,0,4.990173816786281E-4
G01,30,1.5696387681155626E-4
G01,7,8.965385791493464E-4
G01,6,0.0018197830889949366
G01,32,0.002359135962812938
G01,5,0.0013554844234486933
G01,31,0.0011241028776949368
G01,4,7.79351239963519E-4
G01,9,0.001310920456296663
G01,8,0.0012672399021207731
G01,19,0.0027582686022511694
G01,17,0.002037114096790372
G01,18,1.3410811501826715E-4
G01,15,2.7061230029350154E-4
G01,16,0.013145425397808976
G01,13,0.023542268389938517
G01,14,0.0795227995452105
G01,11,3.226510102406992E-4
G01,12,3.071759446359703E-4
G01,21,6.523373266887332E-4
G01,20,1.3805416185858947E-4
G01,49,0.002573189036626447
G01,48,0.0029061519301514533
G01,45,0.05117581010445918
G01,44,0.0025942540534908713
G01,47,7.994031373363949E-4
G01,46,0.0020042912549930944
