silver-infovis-topics--userB.txt,lda_50_0.001_0.001,Score
B06,31,0.35561615651768885
B06,4,0.001235662416981884
B06,9,0.047018719889350094
B06,8,0.003309088058441402
B06,19,0.0019460128824656234
B06,17,0.5353811433934977
B06,18,0.0013600780810506434
B06,15,0.0017078907805463948
B06,16,0.001715555552580202
B06,13,6.342316568731922E-4
B06,14,0.004103907626111412
B06,11,0.03644929000583712
B06,12,0.09182639534841827
B06,21,0.0023177178084161187
B06,20,0.0035459113948911394
B06,49,0.005413180801662236
B06,48,0.0030699627076937962
B06,45,0.002046558690954303
B06,44,0.002435069502863035
B06,47,0.2056610067223851
B06,46,0.0033127607899579845
B06,10,0.0020454934494020982
B07,35,6.419204286520727E-4
B07,36,0.02994634155295932
B07,33,0.0019617214943344133
B07,34,0.0017409076498082752
B07,39,5.01310536032573E-4
B07,37,0.011169182144375955
B07,38,0.9809295999645945
B07,43,0.019347744171761168
B07,42,0.9437376690176018
B07,41,0.0032620508962381174
B07,40,0.001141702225247532
B07,22,0.0019580579779381485
B07,23,0.13543176886248226
B07,24,0.002132317868419099
B07,25,0.04434157554476684
B07,26,0.09560647222911395
B07,27,0.3134426025281633
B07,28,9.910432717636815E-4
B07,29,0.0016477352253878566
B07,3,0.0011421060495284895
B07,2,0.002470939055380002
B07,1,0.002323369586386921
B07,0,0.007499183098931372
B07,30,0.00216330078441047
B07,7,0.0024683223066773634
B07,6,0.001240190439923232
B07,32,0.002659920022878986
B07,5,0.7217142221114334
B07,31,0.002305083546326931
B07,4,0.015310033289589561
B07,9,0.0030613264354641375
B07,8,0.0023010793725745634
B07,19,0.003954095109255047
B07,17,0.007132477664462854
B07,18,0.004341291317580016
B07,15,0.013432157091472429
B07,16,0.003385305692306048
B07,13,0.0057257110101915564
B07,14,0.0021682127432012506
B07,11,0.076499194979195
B07,12,0.001685036017327812
B07,21,0.0028702221832939538
B07,20,0.005968300148895761
B07,49,0.14062280292624088
B07,48,0.49179304068016777
B07,45,9.176489683180781E-4
B07,44,0.0035222746673120764
B07,47,0.0018013401159356966
B07,46,0.012270274034491538
B07,10,0.0040271637589708986
B17,35,4.4769954994466573E-4
B17,36,0.053851275037432866
B17,33,0.0025863015982610115
B17,34,5.125007499992711E-4
B17,39,9.67351930366246E-4
B17,37,0.0031025353283383053
B17,38,0.007594616857549475
B17,43,0.013648152736004166
B17,42,0.6301783315162276
B17,41,0.003342319998745054
B17,40,0.0016550426865065992
B17,22,0.002556670758891904
B17,23,0.004171895900039286
B17,24,0.004864183784030886
B17,25,0.004896684658448759
B17,26,0.01347974093027848
B17,27,0.01736379439212532
B17,28,0.11238466762873033
B17,29,8.440033057264888E-4
B17,3,9.522088918998903E-4
B17,2,0.0018835781617994108
B17,1,8.05530073030288E-4
B17,0,0.0016643541833962791
B17,30,0.0015343454810790153
B17,7,0.0026109364814494826
B17,6,0.0012985617111080689
B17,32,3.25043091294258E-4
B17,5,0.05863283981417648
B17,31,0.003396405789479013
B17,4,0.002035570805580598
B17,9,0.008892629429498318
B17,8,0.010490016841154783
B17,19,0.008524474755701046
B17,17,0.009313131558460525
B17,18,0.004444573657457326
B17,15,0.0022215726461378327
B17,16,0.9838999560085949
B17,13,9.316124027018243E-4
B17,14,0.001983439247537487
B17,11,0.020798802716575075
B17,12,0.005781111030684631
B17,21,0.0019575740157329394
B17,20,0.53659434264156
B17,49,0.0021428660899540752
B17,48,0.002405578106852586
B17,45,0.001564274261067177
B17,44,0.0019250650619118163
B17,47,0.00599371821857992
B17,46,0.001868540616845987
B17,10,0.0016279861645310634
B08,35,0.44373084519610634
B08,36,0.003784289377358439
B08,33,0.0025880373701375895
B08,34,0.008786022650569426
B08,39,0.0017035578126758913
B08,37,0.007551110277518614
B08,38,0.0543520348190504
B08,43,0.030434080988599087
B08,42,0.12085487394466547
B08,41,0.003202151540633528
