silver-infovis-topics--userI.txt,lda_50_0.01_0.0001,Score
I20,35,5.687138574892312E-4
I20,36,0.0010564901313693152
I20,33,0.003385785655296896
I20,34,7.19381350897995E-4
I20,39,0.008090851534193165
I20,37,1.3386640117354402E-4
I20,38,9.537015218200577E-4
I20,43,0.0011009297858681653
I20,42,0.0036525575468940724
I20,41,0.003136873622552179
I20,40,0.0011281042305082442
I20,22,9.840259545459027E-4
I20,23,0.24955530231635453
I20,24,0.004684140191732782
I20,25,1.3589780461117007E-4
I20,26,0.0013149873783186803
I20,27,5.145792045904108E-4
I20,28,0.0013971398163179077
I20,29,0.0018650535732231363
I20,3,0.005615645062106219
I20,2,3.680902319805623E-4
I20,1,2.7401711230724775E-4
I20,0,0.0017496380905053861
I20,30,5.658333577139663E-4
I20,7,3.7721435215829884E-4
I20,6,7.333359673717763E-4
I20,32,0.016255771665869174
I20,5,0.0015012171887663817
I20,31,3.8995047448938086E-4
I20,4,5.496336921928618E-5
I20,9,0.0011912444529203262
I20,8,0.0011402983600256053
I20,19,0.006216715321811332
I20,17,0.0016434976998373444
I20,18,0.0010155449505150312
I20,15,0.003574420358921103
I20,16,0.005544188991377206
I20,13,0.0016481671054157676
I20,14,0.45832476919007265
I20,11,0.001580499326454412
I20,12,0.001855561582979165
I20,21,9.950605022277861E-4
I20,20,3.4399691170617974E-4
I20,49,1.9993471265809324E-4
I20,48,0.4749093701883889
I20,45,7.398302303504615E-4
I20,44,0.003194282442552665
I20,47,4.3843530045904386E-4
I20,46,0.0021168805137143205
I20,10,4.1045871629986257E-4
I12,35,8.675305922818495E-4
I12,36,0.002413895917478916
I12,33,0.002017536015640232
I12,34,0.004595563446851544
I12,39,0.004987099941801482
I12,37,0.017764855997942783
I12,38,0.0774024411089396
I12,43,0.0011139764161335716
I12,42,0.005496326139427196
I12,41,0.005818860567828276
I12,40,0.0020252594651586214
I12,22,0.0022816391939034834
I12,23,0.005065830814425082
I12,24,0.0024171590624041824
I12,25,6.577471881210672E-4
I12,26,0.002118736984813187
I12,27,0.03638536294295057
I12,28,0.006159062470946536
I12,29,6.943657908018502E-4
I12,3,0.11241765575981065
I12,2,0.004522953288815156
I12,1,0.0026974780098154155
I12,0,0.002026702399244078
I12,30,0.012127079656823983
I12,7,0.0017593203059023683
I12,6,0.9554100575640353
I12,32,0.06910866625741538
I12,5,0.004773567135228656
I12,31,0.018450562070981065
I12,4,5.591126396678175E-4
I12,9,0.0014939351069721183
I12,8,0.0011954754645283024
I12,19,0.0032634094402105673
I12,17,0.001862093225560681
I12,18,0.04386670454057527
I12,15,0.002646716865799412
I12,16,0.1516917504342211
I12,13,0.09270748034379435
I12,14,0.026642055535324043
I12,11,8.967559602938204E-4
