silver-infovis-topics--userC.txt,lda_50_0.001_0.001,Score
C18,16,6.117467525638105E-4
C18,13,0.0018648179283551067
C18,14,0.3981905595330512
C18,11,0.025559705441924235
C18,12,4.042218285380994E-4
C18,21,0.0021985056257433255
C18,20,3.908851982034683E-4
C18,49,0.04968607534861032
C18,48,0.0028183417640745088
C18,45,0.0030727439881589307
C18,44,8.398579581157024E-4
C18,47,7.194024491160503E-4
C18,46,0.004250361680159462
C18,10,0.17200520796523552
C05,35,0.013809021884383958
C05,36,0.052556298182786496
C05,33,0.004035911427529626
C05,34,0.001059943559395299
C05,39,6.628593397053698E-4
C05,37,0.001881985755767911
C05,38,0.0027666029790554955
C05,43,0.011692434782315759
C05,42,8.061845562231956E-4
C05,41,4.997950717607765E-4
C05,40,0.11920686068234887
C05,22,0.0024666115811821975
C05,23,6.868402480728315E-5
C05,24,0.001404825999479329
C05,25,9.2655309106948E-4
C05,26,0.07895799809211787
C05,27,3.745751582178582E-4
C05,28,3.934604223552984E-4
C05,29,5.456896271441378E-4
C05,3,0.001239278069216773
C05,2,0.004285654074274867
C05,1,0.0018138286510424315
C05,0,0.004776055886249786
C05,30,0.002371967757661368
C05,7,0.0010135862617763071
C05,6,0.8169264961048932
C05,32,7.676515930566682E-4
C05,5,0.0013255675914141487
C05,31,0.0025471184854448685
C05,4,8.643764074663067E-4
C05,9,0.03253183796356089
C05,8,0.00609648906829165
C05,19,3.9732334400315527E-4
C05,17,0.0035390980788463818
C05,18,5.847752072921968E-4
C05,15,0.005192526403795076
C05,16,5.385583640490914E-4
C05,13,0.0025775515377506313
C05,14,9.986597509761307E-4
C05,11,0.049024073529996146
C05,12,0.013838194013042726
C05,21,0.00202905730435497
C05,20,0.001175701440605983
C05,49,0.06813706126778513
C05,48,0.0037559741650762626
C05,45,4.7548413460119486E-4
C05,44,7.117295586290523E-4
C05,47,0.001094386362541696
C05,46,4.3883598941416995E-4
C05,10,0.001245997014923191
C19,35,0.0012707380139170609
C19,36,0.004336301551178589
C19,33,0.0060990010521622656
C19,34,0.0017536186081075842
C19,39,5.148495828452904E-4
C19,37,0.0012140107108922567
C19,38,0.0014725444714784584
C19,43,0.002212145274590769
C19,42,0.0012492260962275526
C19,41,7.105451767377521E-4
C19,40,0.001214876642241335
C19,22,0.01015482517742472
C19,23,1.658922316015729E-4
C19,24,0.0023366989102967316
C19,25,0.054846947417676595
C19,26,0.33592667424708483
C19,27,0.010807052125161273
C19,28,2.990199212805026E-4
C19,29,3.73198652951994E-4
C19,3,0.002655541242505213
C19,2,0.0044040763692581525
C19,1,0.0014509082045149225
C19,0,0.0022735561652956317
C19,30,7.862709835840433E-4
C19,7,0.002700804418973153
C19,6,0.010821153789880094
C19,32,2.620078808428495E-4
C19,5,0.0010517415376019666
C19,31,0.003039220863025869
C19,4,0.0049869474631758955
C19,9,0.007266931357519573
