silver-infovis-topics--userJ.txt,lda_50_0.001_0.0001,Score
J20,35,0.0028770395156059547
J20,36,0.0026066321971102546
J20,33,0.003945828005715972
J20,34,0.0016407351852389136
J20,39,0.002386913646362583
J20,37,0.027033053082254982
J20,38,0.0016618201154285674
J20,43,0.001400553411176564
J20,42,0.002461675318780219
J20,41,0.0022582230292222966
J20,40,0.00427299589572345
J20,22,0.5437160612384895
J20,23,0.03121751375246585
J20,24,0.0025071774276248905
J20,25,0.018322634540092902
J20,26,0.0023891278168534716
J20,27,0.014279495930823052
J20,28,0.7293621729470546
J20,29,0.001726880501375837
J20,3,0.003212183069582813
J20,2,0.004526320932788755
J20,1,0.001172446240822441
J20,0,0.04925055118807673
J20,30,0.0023098373492770664
J20,7,0.01174198510015972
J20,6,0.004101420867349198
J20,32,0.0049631521002372215
J20,5,0.09244937990893702
J20,31,0.0023804415853778678
J20,4,0.004335878711844519
J20,9,0.0027430722920804554
J20,8,0.003998232600198973
J20,19,0.0038074114863602348
J20,17,0.0017308722590876867
J20,18,0.0030927277081963253
J20,15,0.24377308115548985
J20,16,0.052216915309945815
J20,13,0.003903690467853271
J20,14,0.003330735844037557
J20,11,0.011055756499056976
J20,12,0.0027610361548145806
J20,21,0.003043606569928067
J20,20,0.00624368952727365
J20,49,0.009050499556017116
J20,48,0.004161645053844505
J20,45,0.022406106505444393
J20,44,0.6057470412958704
J20,47,0.005112707974588841
J20,46,0.6002770239555234
J20,10,0.006310727085106179
J21,35,0.001817481639192924
J21,36,0.019115690278402698
J21,33,0.0017757195888353726
J21,34,0.0016566122487774646
J21,39,0.010478674150381529
J21,37,0.003233806384090789
J21,38,0.002654516094885729
J21,43,0.012236170463689997
J21,42,0.005160832178644819
J21,41,0.003594624631128363
J21,40,0.024798543459387066
J21,22,0.12785742245813475
J21,23,0.004978903611957023
J21,24,0.0016863543903559127
J21,25,0.0023680167273306203
J21,26,0.040411491297442335
J21,27,0.01818134477814755
J21,28,0.4023707782877465
J21,29,0.054978925147974304
J21,3,0.003319334164449397
J21,2,0.005649396311549329
J21,1,0.01536189040822725
J21,0,0.054007596383932044
J21,30,0.007960648877804372
J21,7,0.023640676446691586
J21,6,0.019424608202157214
J21,32,0.001855450494516133
J21,5,0.003762788165095891
J21,31,0.0026993186039242978
J21,4,0.09847611113912874
J21,9,0.009584744292825758
J21,8,0.19018583936875996
J21,19,0.01954587420172881
J21,17,0.008161625512212644
J21,18,0.014773339024586713
J21,15,0.0017643744006538623
J21,16,0.0012993289181235457
J21,13,0.06396206275811635
J21,14,0.0018992907363622063
J21,11,0.04760332249302203
J21,12,0.5705074392338735
J21,21,0.0016080423735534612
J21,20,0.024454334273963665
J21,49,0.0023152646025538285
J21,48,0.02951436225110049
J21,45,0.0028468377129758056
J21,44,0.18076510261552076
J21,47,0.018750848626703526
J21,46,0.00884926061181205
J21,10,0.01600305496955671
J22,35,0.006518714102298642
J22,36,0.021512103417678053
J22,33,0.007708082784824404
J22,34,0.002675255470166224
J22,39,0.004132756581609649
J22,37,0.0013357479272283364
J22,38,0.14177144446122583
J22,43,0.003443415021020541
J22,42,0.4371178290715988
J22,41,0.0012036478590025676
J22,40,0.0015129709125980995
J22,22,0.0046652770920643655
J22,23,0.002884308830712341
J22,24,0.0018655051061797154
J22,25,0.005042562613342939
J22,26,0.003940466067455428
J22,27,0.09204589330819592
J22,28,0.003103253927731391
J22,29,0.0010138322922546563
J22,3,0.04042520833607685
J22,2,0.019237929095512488
J22,1,5.32223231984176E-4
J22,0,0.24564871849808972
J22,30,0.0015380084513393164
J22,7,0.0023196170834075642
J22,6,0.0010307982263773547
J22,32,0.6370873742791144
J22,5,0.002141634070833808
J22,31,0.003549079326053873
J22,4,0.0021897902667965896
J22,9,0.012739509338184636
J22,8,0.0021417685830040834
J22,19,0.003944717338137605
J22,17,0.0017105949104312544
J22,18,0.3100863629932126
J22,15,0.006364320571576593
J22,16,0.002551452729432815
J22,13,4.2340291951873624E-4
