silver-infovis-topics--userF.txt,lda_20_0.0001_0.01,Score
F05,14,0.007627279091996763
F05,11,0.010847320077482998
F05,12,4.8555420225716985E-4
F05,3,0.21072100681869063
F05,2,0.060205992723599056
F05,1,0.06076746642770821
F05,10,0.027331355991663194
F05,0,0.0033537795994745584
F05,7,0.006093689207942196
F05,6,0.0030032076630574257
F05,5,0.023536217220004953
F05,4,0.006799023403800507
F05,9,0.026993471015405373
F05,8,0.0026179840951321702
F14,19,0.46393486829717023
F14,17,0.04081331022356246
F14,18,0.023025292292700353
F14,15,0.0617553666694969
F14,16,0.37719156301833484
F14,13,0.002055602302345629
F14,14,0.032015911348595806
F14,11,0.003342137518141672
F14,12,0.018098091302567447
F14,3,0.0043079968361113856
F14,2,0.03135138405087318
F14,1,0.008588850714948307
F14,10,0.007749244163918605
F14,0,0.003651278832608375
F14,7,0.0016348111289414085
F14,6,0.7768435561587985
F14,5,0.0036451034063585642
F14,4,0.05978690825601764
F14,9,0.8646213061431278
F14,8,0.05399982912897457
F20,19,0.004258233653583349
F20,17,0.09136920632902133
F20,18,0.02076204781318912
F20,15,0.03036503810315603
F20,16,0.03374842315948419
F20,13,0.26165137179052456
F20,14,0.0015545225548918597
F20,11,0.0852122839693736
F20,12,0.05980443151075834
F20,3,0.0023861623895417208
F20,2,0.04341518748224512
F20,1,0.0019172154678397063
F20,10,0.025521934404381105
F20,0,0.010338643561776339
F20,7,0.004790832412942061
F20,6,0.27437998499960864
F20,5,0.00263173157847573
F20,4,0.6261661025787477
F20,9,0.0035688389654586214
F20,8,6.570954928607076E-4
