silver-infovis-topics--userD.txt,lda_40_0.001_0.001,Score
D20,19,0.001945345956731118
D20,35,0.022506603938536884
D20,17,0.2413362979121628
D20,36,0.0022868891812165026
D20,18,0.002076285370547074
D20,33,0.018755332714903004
D20,15,0.001908863277720028
D20,34,0.009533838553525681
D20,16,0.00119058732324689
D20,39,0.27076706683056273
D20,13,0.005172623527333285
D20,14,0.0027784601297905676
D20,37,0.3698913134652178
D20,11,0.08893228684874033
D20,38,0.041065472671467124
D20,12,0.0021733054569591883
D20,21,0.003060132606123948
D20,20,0.0016642970611794143
D20,22,0.0023037651779796203
D20,23,0.001055238959180988
D20,24,0.08868680547704051
D20,25,0.004345533018322634
D20,26,0.008249162282356769
D20,27,0.08216325469512466
D20,28,0.039798926697659255
D20,29,0.004307974374993259
D20,3,0.014338763489213634
D20,2,0.020635593550523423
D20,10,0.2527138284018561
D20,1,0.00629449060404513
D20,0,0.0010401968497156088
D20,7,0.033281832806064324
D20,30,0.003414503918300379
D20,6,0.10108457009158368
D20,5,0.014790183572072062
D20,32,9.458365060158495E-4
D20,4,0.06359670228777319
D20,31,3.0748264963648174E-4
D20,9,0.014739673882852444
D20,8,0.015849541688656148
D19,19,0.0014342902717407104
D19,35,0.002873571230105842
D19,17,2.4424771807072697E-4
D19,36,0.0034777432209237152
D19,18,9.746064102299976E-4
D19,33,6.89906482551024E-4
D19,15,0.021840459299902307
D19,34,0.0014668874303577085
D19,16,0.0012924046238543924
D19,39,0.0010092112168146664
D19,13,0.8033851527899111
D19,14,3.3383282396333295E-4
D19,37,0.0016857552714511122
D19,11,9.800950988293527E-4
D19,38,0.0017651294458723567
D19,12,0.0012779852688805456
D19,21,1.7206241383479128E-4
D19,20,5.222183013312868E-4
D19,22,0.002326212989614569
D19,23,3.354548586765413E-4
D19,24,0.0028886789886483142
D19,25,0.07377637212968202
D19,26,0.003001902138815934
D19,27,0.0020686048617629027
D19,28,9.845520585090085E-4
D19,29,0.0024767056278918657
D19,3,8.906655992266492E-4
D19,2,7.464775188330555E-4
D19,10,0.0013253707780317013
D19,1,0.0019534999511765807
D19,0,3.453047581050524E-4
D19,7,9.199039956933807E-4
D19,30,0.0012473094990487698
D19,6,5.068095650739749E-4
D19,5,0.013790091493512027
D19,32,0.0011418762767014192
D19,4,0.0013493418646441495
D19,31,8.389605003652194E-4
D19,9,0.0038853767223553434
D19,8,8.135210160493066E-4
D09,19,0.003473477665970757
D09,35,8.162714595281664E-4
D09,17,0.003360125635099494
D09,36,0.0026839943467866366
D09,18,0.18531281423990992
D09,33,0.0010987239940209307
D09,15,0.002117449546507659
D09,34,0.0023664665570991956
D09,16,0.0044315041503056275
D09,39,0.004735477389934179
D09,13,0.0025823743625530133
D09,14,0.8370485401224849
D09,37,0.04884047890711575
D09,11,0.003469720677876216
D09,38,0.012316912964400328
D09,12,0.00127268646817318
D09,21,0.0033885850321022193
D09,20,0.05030746375205684
D09,22,0.002271991077885147
D09,23,0.001095580789036409
D09,24,0.0033448052087372755
D09,25,0.002874159531554138
D09,26,0.006095939034935877
D09,27,0.002522256994089714
D09,28,0.011957323957318614
D09,29,0.004587034990956428
D09,3,0.008878774041428108
D09,2,0.050743238077189654
D09,10,0.005763369033250554
D09,1,0.00756323175078107
D09,0,7.578422691671163E-4
D09,7,0.16789532888539935
D09,30,9.244435290923055E-4
D09,6,4.463926997986672E-4
D09,5,0.001663398227412547
D09,32,0.0017020619150394263
D09,4,0.07261833210389769
D09,31,0.003646793776029934
D09,9,0.06020680918643508
D09,8,0.007542898418358949
D08,19,0.0034345176304831884
D08,35,0.001622397258277789
D08,17,0.0026311488174644536
D08,36,0.002592885510881282
D08,18,0.008034833517460559
D08,33,0.16123761146163926
D08,15,0.0023449998827936207
D08,34,0.0013460743279052128
D08,16,0.0015876957431664672
D08,39,0.0021748428899037845
D08,13,0.001333893374882016
D08,14,0.015156828586132844
D08,37,0.0026948522283483417
D08,11,0.0012645571165052182
D08,38,0.3624675622660144
D08,12,0.03476070932108428
D08,21,0.019810330681395476
D08,20,0.03882325750856388
D08,22,0.003770502500819826
D08,23,0.00421892971742561
D08,24,0.013078595229514423
D08,25,0.0034443140255137807
D08,26,0.0012573104560993874
D08,27,0.002335508905266951
D08,28,0.18627956058147577
D08,29,0.3268113215887902
D08,3,0.0014713349660621848
D08,2,0.0021562732812146173
D08,10,0.004298926461833897
D08,1,0.11875093988605837
D08,0,0.0010031244220357514
D08,7,0.0022525561698962453
D08,30,0.005821713211236396
D08,6,0.8432666708066603
D08,5,0.002805791642345967
D08,32,0.007820163307990678
D08,4,0.026167202299331258
D08,31,0.0012539406104653042
D08,9,0.0020526978792029826
D08,8,0.17152607645975151
D16,19,0.002107244360619284
D16,35,0.0027338086716102833
D16,17,0.8716116051800823
D16,36,0.003435665462884786
D16,18,0.41499658878014256
D16,33,0.00727573652381859
D16,15,0.002801997200701181
D16,34,0.003088524276293028
D16,16,0.004999399351559457
D16,39,0.00629959786188275
D16,13,0.005601603597497798
D16,14,0.015239718595575264
D16,37,0.009448759181260966
D16,11,0.003322276983301186
D16,38,0.0034184874086931783
D16,12,0.002487758468832238
D16,21,0.0030188639793018897
D16,20,0.0013651062969731325
D16,22,0.001755797742654341
D16,23,0.007109357333880341
D16,24,0.004091283464241621
D16,25,0.005229634102350116
D16,26,0.008225508885022706
D16,27,0.001968813061206369
D16,28,0.0022576140525511425
D16,29,0.6034042018285091
D16,3,0.02273735107469241
D16,2,9.014758108003543E-4
D16,10,0.004367189975135661
D16,1,0.014028600060313071
D16,0,6.501534347486707E-4
D16,7,0.30823249508697703
D16,30,0.0020696647251593763
D16,6,0.07759046166270317
D16,5,0.0011698266712505416
D16,32,0.010891821035693623
D16,4,0.1328141603030637
D16,31,0.005213712311895131
D16,9,0.052297496291504715
D16,8,0.25365346260872107
D07,19,0.0016881947761163468
D07,35,0.0041699118481335565
D07,17,0.0011745608589986331
D07,36,0.001539837004830561
D07,18,0.0019228265841640644
D07,33,5.547437261764857E-4
D07,15,0.001758481775565652
D07,34,0.00119587829376425
D07,16,8.515419953838449E-4
D07,39,0.20347878787959098
D07,13,0.0031648062170407643
D07,14,5.54163504983418E-4
D07,37,0.10253527336367757
D07,11,0.0012595060682657443
D07,38,0.5830305416921506
D07,12,8.476455044837877E-4
D07,21,0.05517129656915681
D07,20,0.2643811691584521
D07,22,0.0018006028721881332
D07,23,9.700066179064479E-4
D07,24,0.0013549609425975442
D07,25,0.0032165607298700626
D07,26,0.0029280921014230954
D07,27,0.0010873671083689589
D07,28,0.0010965834203163127
D07,29,0.050344652456802225
D07,3,7.29217572244986E-4
D07,2,8.132478285135841E-4
