silver-infovis-topics--userH.txt,lda_25_0.0001_0.01,Score
H15,16,0.017568790217391005
H15,13,0.020025236475792914
H15,14,0.07738744242058598
H15,11,0.7700779821161888
H15,12,0.002726393722567338
H15,21,0.00837940445331131
H15,20,0.0013090311620059297
H15,22,0.24930860845843894
H15,23,9.183244966755538E-4
H15,24,0.005508405632380864
H15,3,0.00653880164257845
H15,2,0.023836878245784808
H15,10,0.0013846352237842712
H15,1,4.1720482443043973E-4
H15,0,0.005321872920359584
H15,7,0.0012944855190590227
H15,6,0.002607888731070895
H15,5,0.03425596289444607
H15,4,0.0037768175765625677
H15,9,0.30847214665594924
H15,8,0.003274228548362079
H06,19,0.0010966791498255547
H06,17,0.003792539034950223
H06,18,0.0014253973830008091
H06,15,0.006492149797749587
H06,16,0.0028239439803787393
H06,13,0.029840662820446128
H06,14,6.286662882613836E-4
H06,11,0.03398703889420257
H06,12,0.0033932751585365904
H06,21,0.0023126939025602793
H06,20,0.004034521758464299
H06,22,0.007576611819739142
H06,23,0.0016771404955023025
H06,24,0.002530024486983887
H06,3,0.4367552678422092
H06,2,0.0018485936751606383
H06,10,0.0014622808311236532
H06,1,0.002020759081706008
H06,0,0.005128708031800165
H06,7,0.02554908975998146
H06,6,0.14181682648688324
H06,5,0.038162767682740927
H06,4,0.004422572015471491
H06,9,0.935070974589307
H06,8,0.004102725032239307
H16,19,0.004256206622833414
H16,17,0.006472610918556521
H16,18,0.020225710806363737
H16,15,0.4801096419607745
H16,16,0.13782333907993924
H16,13,0.06692044111964511
H16,14,0.010224228219328604
H16,11,0.008725889766655236
H16,12,0.028725941373481466
H16,21,0.002470871935412012
H16,20,0.09580219499049983
H16,22,0.9743689017226145
H16,23,0.001977541587813021
H16,24,0.18380314414943116
H16,3,0.004868655650363543
H16,2,0.31691503008592353
H16,10,0.07913026611653003
H16,1,0.01846277491320942
H16,0,0.04603598016437946
H16,7,0.008160195725356315
H16,6,0.005873724967529746
H16,5,0.08266165961125889
H16,4,0.009448802334414325
H16,9,0.002852673864413483
H16,8,0.24788519299606132
H07,19,0.010192865514506603
H07,17,0.04091823235612469
H07,18,0.0033782714024764814
H07,15,0.005279538238460116
H07,16,0.0067754244061121035
H07,13,0.11567800728527151
H07,14,0.008846306476521595
H07,11,0.45422855050575034
H07,12,0.010428107564632453
H07,21,0.009929037139236662
H07,20,0.48435592149314577
H07,22,0.011313846079330598
H07,23,0.006812916769250215
H07,24,0.008455112202687281
H07,3,0.015466222357994712
H07,2,0.2542263322085418
H07,10,0.05052659229861899
H07,1,0.003290138401229635
H07,0,0.15645965005886417
H07,7,0.017198749998366545
H07,6,0.004094658459217739
H07,5,0.02871257056313308
H07,4,0.0017213162090763327
H07,9,0.1037906556715527
H07,8,0.28469742355133293
H13,19,0.0015860879869270808
H13,17,0.004978775240542303
H13,18,0.0023858173457600245
H13,15,0.013488274369084936
H13,16,0.002081114890078476
H13,13,0.20136611428922885
H13,14,7.020609511021947E-4
H13,11,0.014801353998248883
H13,12,0.006097539164194318
H13,21,0.04301269547441877
H13,20,0.4194279596620167
H13,22,0.0042264984264131725
H13,23,3.978464765623393E-4
H13,24,0.001340687942997237
H13,3,0.005189657815265044
H13,2,0.002519682746663051
H13,10,0.02208254270933142
H13,1,0.003275656231677588
H13,0,0.9450299717610264
H13,7,0.0032934018568716653
H13,6,0.03306316115836437
H13,5,0.023211336328847126
H13,4,0.0024599492447918
H13,9,0.003911282806547938
H13,8,0.7959579626778623
H14,19,8.211473922183856E-4
H14,17,3.8581638716057664E-4
H14,18,0.0012911714418107774
H14,15,0.005043338129863881
H14,16,3.207424399141336E-4
H14,13,0.005710496010461228
H14,14,1.5689265136971042E-4
H14,11,0.0037304864234258637
H14,12,0.0010705310742233696
H14,21,0.028609824407931004
H14,20,6.975378324635904E-4
H14,22,0.004513277942052528
H14,23,0.004261663840008762
H14,24,0.015564086831289065
H14,3,0.8809162983977536
H14,2,0.002738419777320081
H14,10,0.0011599436211255719
H14,1,5.772060637346789E-4
H14,0,0.0022259993524883725
H14,7,0.006985491698534207
H14,6,0.029769330971921523
H14,5,0.0060427851179103405
H14,4,9.34695631807391E-4
H14,9,0.0025228579046458807
H14,8,0.0012626116797219602
H01,19,0.004822948080070348
H01,17,0.0013907820451042345
H01,18,0.9578350044891302
H01,15,0.003668281067259999
H01,16,0.0027051871437184846
H01,13,0.0037907020099620303
H01,14,0.0849937213559684
H01,11,0.04956710969617897
H01,12,0.012617310645131294
H01,21,0.3056020991357661
H01,20,0.09392240077550856
H01,22,0.007579227388853625
H01,23,0.0011187429723780507
H01,24,0.016196265993253835
H01,3,0.0060717008718181725
H01,2,0.0055843738594671755
H01,10,0.07621925308524419
H01,1,0.8711680422344076
H01,0,0.026279066190555034
H01,7,0.0034021337114407382
H01,6,0.00548481685763469
H01,5,0.012981836772358306
H01,4,0.16707115875193707
H01,9,0.0990077341148103
H01,8,0.102526785532207
H21,19,0.0011983058337179614
H21,17,0.006958964359837859
H21,18,1.535630968390969E-4
H21,15,0.0639411361665425
H21,16,0.0011663068343537118
H21,13,0.002406624156730728
H21,14,1.3733738247234868E-4
H21,11,0.0026514558462628923
