silver-infovis-topics--userA.txt,lda_40_0.0001_0.001,Score
A20,19,0.001994367540670454
A20,35,0.0029559200505460026
A20,17,0.019382581438120106
A20,36,0.0019201303751863908
A20,18,0.002762980891926871
A20,33,0.44683713135158165
A20,15,0.012786012651537271
A20,34,0.002326130856665176
A20,16,0.011562065772365453
A20,39,0.0023756495819084273
A20,13,0.0847230098442595
A20,14,0.016858830828513832
A20,37,0.051263394592423704
A20,11,0.09751973128726785
A20,38,0.001775600292566364
A20,12,0.03367130286011529
A20,21,0.013642784990639598
A20,20,0.20307008423040274
A20,22,0.23621911522365166
A20,23,0.14487235952228994
A20,24,0.007656512438129728
A20,25,4.653904533714732E-4
A20,26,0.001115299501599761
A20,27,0.0036856059715080556
A20,28,0.004572091852478445
A20,29,0.007457876039910703
A20,3,0.0016595163859106342
A20,2,0.0015808007107176478
A20,10,0.004810915460567288
A20,1,0.5187267481215324
A20,0,0.0014180736134455569
A20,7,0.0011468031624809972
A20,30,0.0014202086599829416
A20,6,0.24196691504651485
A20,5,0.05185508778526473
A20,32,0.0022361445043290636
A20,4,0.004814320757470078
A20,31,0.001593591816285384
A20,9,0.0014669222910523225
A20,8,0.004283133376789564
A19,19,0.0016513881306731237
A19,35,0.040426778941901664
A19,17,0.0046961828833928495
A19,36,0.0026139306024374593
A19,18,0.006288205077551711
A19,33,0.0012996493738005883
A19,15,0.5185942580483364
A19,34,0.0060073304779262576
A19,16,0.010761186925835262
A19,39,0.002319135323718759
A19,13,0.0020938054728604208
A19,14,0.11703234291472218
A19,37,0.0029651086866312377
A19,11,0.00299203033168308
A19,38,0.7969061216319135
A19,12,0.006667328569022509
A19,21,1.0785137763895316E-4
A19,20,0.003807181551131062
A19,22,0.1208406836441177
A19,23,0.3615318972101684
A19,24,0.01352376938004086
A19,25,0.003978952894784458
A19,26,0.00514919823098288
A19,27,0.6673206698206041
A19,28,0.005144233654189361
A19,29,0.09152269600115634
A19,3,0.046979642007255996
A19,2,0.003867662280169723
A19,10,0.001245400907329714
A19,1,0.003093544487956689
A19,0,0.002507665240363605
A19,7,4.8410755597572195E-4
A19,30,0.0027333999788849185
A19,6,9.571440513162507E-4
A19,5,0.0021531613173882734
A19,32,0.14082108634651516
A19,4,0.008868773131755292
A19,31,0.0018386005950319338
A19,9,0.9137306334953892
A19,8,0.001273425099078412
A18,19,0.003508942952682185
A18,35,0.0030400488924681893
A18,17,0.0032029745842554885
A18,36,0.005346776223176308
A18,18,0.008303138264617864
A18,33,0.003528180711206307
A18,15,0.0032171120384528944
A18,34,0.0014838007833518645
A18,16,0.10961346620551604
A18,39,0.009342610958216712
A18,13,0.0019942858691765638
A18,14,0.006673324648758818
A18,37,0.0049296329849394934
A18,11,0.006370771317589225
A18,38,0.31377947372511494
A18,12,0.21899250118160304
A18,21,0.011910875783893654
A18,20,0.004589092566040014
A18,22,0.0016798530211918508
A18,23,0.0035416432908934262
A18,24,0.007760507754183185
A18,25,8.003776491376474E-4
A18,26,0.001139563885622438
A18,27,0.0020113227760307113
A18,28,0.004634262940551439
A18,29,0.007548863965211366
A18,3,0.07226055303051725
A18,2,0.0036213645618771682
A18,10,0.003924234599757601
A18,1,0.622327917170185
A18,0,0.004737687570092579
A18,7,0.0017446816496701645
A18,30,0.003017754383577544
A18,6,0.0037689611841712936
A18,5,0.004487824295372473
A18,32,0.0030616474356000875
A18,4,0.006897047018792806
A18,31,0.0011571638301399137
A18,9,9.689816072243332E-4
A18,8,0.002738101102899169
A09,19,0.005685551425603969
A09,35,5.203021528691603E-4
A09,17,0.004981681199079259
A09,36,0.0017429846359903313
A09,18,0.004367842172093973
A09,33,0.0014008635758453894
A09,15,6.072919855016343E-4
A09,34,0.0015687417986654348
A09,16,0.0023014792793770705
A09,39,0.3279633623488122
A09,13,0.0019830006704012427
A09,14,0.002927249848150536
A09,37,0.001957585865641599
A09,11,0.004716425809174808
A09,38,0.004008650502001535
A09,12,0.006234266762163954
A09,21,1.5893966221686465E-4
A09,20,0.001641984512370802
A09,22,8.466608263363047E-4
A09,23,0.003959598018566804
A09,24,0.8179416318971674
A09,25,0.0012336549097195088
A09,26,8.603843551495868E-4
A09,27,7.639935197192005E-4
A09,28,0.04113145525930371
A09,29,7.783246320450286E-4
A09,3,0.004986801942729506
A09,2,8.115948709936274E-4
A09,10,0.021024593634700495
A09,1,0.0013049653576811242
A09,0,5.126111536147594E-4
A09,7,4.856259536855469E-4
A09,30,0.002321086030603137
A09,6,0.14944913925990275
A09,5,7.517779351811488E-4
A09,32,0.002135825789127277
A09,4,9.160636982191154E-4
A09,31,0.04869448440800702
A09,9,0.0016692533085357686
A09,8,0.0013668552651369458
A08,19,0.0025834307062590533
A08,35,0.001180932955905534
A08,17,0.015735721383709596
A08,36,0.004268536804085937
A08,18,0.00455079415710326
A08,33,6.842750704394847E-4
A08,15,0.002789439471653543
A08,34,9.415938411774579E-4
A08,16,0.10077041081640936
A08,39,0.006400963161606958
A08,13,0.02307670118064397
A08,14,0.0031384271590897497
A08,37,0.0014130923282173855
A08,11,0.17428494390200863
A08,38,0.0010968900581934372
A08,12,0.04274695126408608
A08,21,1.879815010091378E-4
A08,20,0.0019970028629261267
A08,22,3.269807153002685E-4
A08,23,0.00282311756249695
A08,24,0.0035534311714998327
A08,25,0.0017043873588502099
A08,26,8.960111859380797E-4
A08,27,2.713678247258204E-4
A08,28,0.0037294870842800457
A08,29,8.739428135846612E-4
A08,3,0.001532624446185201
A08,2,8.465041204365919E-4
A08,10,0.3158122056139972
A08,1,0.012824150394160249
A08,0,0.015030464195338503
A08,7,2.649131264225919E-4
A08,30,0.0023590659920935016
A08,6,0.005347791718916272
A08,5,4.4866314310517774E-4
A08,32,0.5321462533126673
A08,4,7.789971552892421E-4
A08,31,0.11421519072561473
A08,9,0.0027102901051647026
A08,8,4.2683854754179085E-4
A07,19,0.0016085111047199527
A07,35,0.0035046904475237502
A07,17,0.057220397331329734
A07,36,0.006103702575722422
A07,18,0.006849804236871309
A07,33,0.001987149565804086
A07,15,0.016898009817246148
A07,34,0.04265740562396741
A07,16,0.0014566853418062863
A07,39,0.055217458039660425
A07,13,0.0020244312060162402
A07,14,0.0890490815419493
A07,37,0.0029259177859386268
A07,11,0.0025375174752674725
A07,38,0.002999201747685787
A07,12,0.004241758530114925
A07,21,0.0031581377841021344
A07,20,0.0017855759513669385
A07,22,0.3211504464343353
A07,23,0.015620144476419254
A07,24,0.34023137916298346
A07,25,0.005174235505587096
A07,26,6.273644572337454E-4
A07,27,5.924977653576824E-4
A07,28,0.005208014781053258
A07,29,0.004237555433393778
A07,3,0.0027043606691595375
A07,2,0.002669621156277444
A07,10,0.33800744681773126
A07,1,0.0018875592426989178
A07,0,8.6689091294747E-4
A07,7,0.0046152548508881786
A07,30,0.0018328065114873206
A07,6,0.6178894756924611
A07,5,0.0056593790923613555
A07,32,0.0018693297099952474
A07,4,0.00872795184985236
A07,31,0.001565556177545312
A07,9,0.0010795974087644642
A07,8,0.008741789913459488
A02,19,0.019448806488843225
A02,35,0.0013465815829143165
A02,17,0.021119776824547788
A02,36,0.005129400900505195
A02,18,0.008319410395126098
A02,33,0.001639459844696208
A02,15,0.0028386130085973145
A02,34,0.07958868472154977
A02,16,0.0018312413268067342
A02,39,0.0030025488776744204
A02,13,0.002115894912758629
A02,14,0.044204837449014885
A02,37,0.0025427122847692545
A02,11,0.0024589060741635085
A02,38,0.008211758130672972
A02,12,0.0031249852140943445
A02,21,0.0033217196178440744
A02,20,0.003574953468475111
A02,22,5.599063395809783E-4
A02,23,0.026022790783994523
A02,24,0.001963422064793937
A02,25,0.004932719549841547
A02,26,0.0013975955439025417
A02,27,0.06159409808513393
A02,28,0.0027963343131400357
A02,29,0.005345026323885072
A02,3,0.0017848779652247003
A02,2,0.0021802993516683304
A02,10,0.1700474515626862
A02,1,0.002370877815615592
A02,0,0.0024345929777018892
A02,7,2.3765673279419508E-4
A02,30,0.0032502905080845582
A02,6,0.002593370582713684
A02,5,0.0017425887612646323
A02,32,0.004983517154378317
A02,4,0.0016208550785321808
A02,31,0.0024643224873443187
A02,9,0.002339366211043528
A02,8,0.02138723419881008
A11,19,0.009039159006314789
A11,35,5.955784917892519E-4
A11,17,0.002357188846007342
A11,36,0.002113437757112345
A11,18,0.0050882714991138224
A11,33,0.0011163874194857542
A11,15,0.004311828670375892
A11,34,9.876787094748496E-4
A11,16,0.002122199527209922
A11,39,0.008227021473360144
A11,13,0.0022644198014327497
A11,14,0.06171387612340908
A11,37,0.05027737957553923
A11,11,0.0027952488640207115
A11,38,0.08863897557260371
A11,12,0.0038418618852600517
A11,21,9.277553558214962E-4
A11,20,0.004288815473328494
A11,22,0.29280010881683405
A11,23,0.0055437972802018735
A11,24,0.00762631920130686
A11,25,0.0026562341187685856
A11,26,0.054102750390253786
A11,27,0.0380878063133452
A11,28,0.00474601784118943
A11,29,0.009866379556693077
A11,3,0.03107861069442163
A11,2,0.04470536916472809
A11,10,0.011268405266978065
A11,1,0.19301589488167092
A11,0,0.08589674880645394
A11,7,0.0022486690429073157
A11,30,0.0018850255666834495
A11,6,0.0020323960924292944
A11,5,0.03261298007422065
A11,32,0.009089520130938597
A11,4,0.48284784614168935
A11,31,0.008255979849167438
A11,9,0.005811516040631138
A11,8,0.11014203410299456
A01,19,0.016591141277207868
A01,35,0.08040479455962596
A01,17,0.2146731046894016
A01,36,0.005508723685882093
A01,18,0.023691878209979575
A01,33,0.0024152948528279716
A01,15,0.03147782558011474
A01,34,0.003550331218657732
A01,16,0.01333800718759451
A01,39,0.0031594318178986805
A01,13,0.003969422438384316
A01,14,0.23723551283581062
A01,37,0.007037984001274025
A01,11,0.042922689186621454
A01,38,0.17647080382741784
A01,12,0.004628246058745835
A01,21,0.012273226183322534
A01,20,0.8354218318233079
A01,22,0.017921464966426777
A01,23,0.00923162544083846
A01,24,0.012157712455429197
A01,25,0.024810149790929468
A01,26,7.969331224466279E-4
A01,27,0.00115385193123699
A01,28,0.005083824885342405
A01,29,0.004473863818251861
A01,3,0.002530769941738286
A01,2,0.007293989243407145
A01,10,0.4584856949798769
A01,1,0.00451789553836672
A01,0,0.015331439098381585
A01,7,0.003824203840292668
A01,30,0.0023710699828431263
A01,6,0.002645715970746216
A01,5,0.0031436142223371243
A01,32,0.0036591988649041065
A01,4,0.045851492283117704
A01,31,0.017285787742994926
A01,9,8.667033563793221E-4
A01,8,0.057658269483376726
A10,19,0.002774522357184679
A10,35,2.220796199090115E-4
A10,17,0.0031193209547432897
A10,36,0.012397876887804722
A10,18,0.005317230801657535
A10,33,0.0020897904997712125
A10,15,0.9621572696203516
A10,34,0.0015489200121193108
A10,16,0.001465342549382247
A10,39,0.008278056962607597
A10,13,0.10101588085841982
A10,14,0.0026695944921562745
A10,37,0.0045149624738132525
A10,11,0.0030120652770691857
A10,38,0.5577296184217007
A10,12,0.07441222754574586
A10,21,0.0014466306247977328
A10,20,0.0018043596703836721
A10,22,0.0012357608010530859
A10,23,0.0019898558798604605
A10,24,0.004380857143579099
A10,25,5.039058830883054E-4
A10,26,0.10272066223475099
A10,27,0.0015126381170362932
A10,28,0.028031605834471295
A10,29,0.004109121444407686
A10,3,0.7210286423715088
A10,2,0.0017381185168132498
A10,10,0.003230627406034541
A10,1,0.0013604905464605953
A10,0,0.0019456795400440486
A10,7,0.00125021977458533
A10,30,0.0019777184656245353
A10,6,0.001055623452634865
A10,5,0.0028956376766330096
A10,32,0.002465225230288884
A10,4,0.0019060431454625442
A10,31,0.0022891482366141093
A10,9,0.002363630294886617
A10,8,0.01713809258032386
A13,19,0.1898503471847363
A13,35,0.9013193131594776
A13,17,0.0014619800053245337
A13,36,0.0014170501188090962
A13,18,0.0036213495165272145
A13,33,0.001181818572311935
A13,15,0.001668782281735323
A13,34,0.0013948080658968995
A13,16,0.05644752665147756
A13,39,0.00222775477387444
A13,13,0.001615939885820054
A13,14,0.0021893665281528265
A13,37,0.08236213153584662
A13,11,0.0020494298567088473
A13,38,0.01242846218447928
A13,12,0.0024232999207635863
A13,21,0.030039392281549636
A13,20,0.0019429945573250969
A13,22,0.0026506385738599833
A13,23,6.616273907283184E-4
A13,24,0.003125351211097859
A13,25,0.0018393416917236787
A13,26,4.556074865660771E-4
A13,27,0.012600275978696725
A13,28,0.17548496353623974
A13,29,0.257569425501703
A13,3,0.5258479952411
A13,2,0.0026895945397895997
A13,10,0.005033391787401601
A13,1,0.06144611213518656
A13,0,0.002681877710949873
A13,7,0.022214480917812786
A13,30,0.002472237237358306
A13,6,0.029460058867631464
A13,5,0.08073610554915643
A13,32,0.0014153793185081483
A13,4,0.004677458714390889
A13,31,0.0022148971489830923
A13,9,5.948142079553704E-4
A13,8,0.002737413280508459
A12,19,0.008598856529226451
A12,35,0.06811938296066956
A12,17,0.2925321831457641
A12,36,0.00727261636779786
A12,18,0.3222532902418272
A12,33,0.02469250029533011
A12,15,0.0076143128205259465
A12,34,0.03557301360803192
A12,16,0.017559753705697404
A12,39,0.005431000244965025
A12,13,0.050199112435612474
A12,14,0.0708757880865513
A12,37,0.004841438046866457
A12,11,0.0036839894191503923
A12,38,0.0055911258072661165
A12,12,0.002455994031619543
A12,21,0.006719215565982912
A12,20,0.7588371555618477
A12,22,0.005744163881864171
A12,23,0.002099127543819237
A12,24,0.004762264111785091
A12,25,0.02235031330724474
A12,26,0.005162875271243285
A12,27,0.0017828411529859066
A12,28,0.00762258487341269
A12,29,0.009402143595137288
A12,3,0.01886154352162664
A12,2,0.0023438375302837515
A12,10,0.25354179931683946
A12,1,0.06441647085585839
A12,0,0.0019414415238882647
A12,7,0.0036540013669742106
A12,30,0.0026747063294014013
A12,6,0.015527703314621095
A12,5,0.001959843162309993
A12,32,0.07208558249442067
A12,4,0.0018473874588275185
A12,31,0.05257296824839158
A12,9,0.019558385805859415
A12,8,0.020189734328921648
A15,19,0.02626246347156455
A15,35,5.600929152779026E-4
A15,17,0.01837405989512624
A15,36,0.0028290520343662766
A15,18,0.007557140917668542
A15,33,0.00312868948438117
A15,15,0.0020197425330944043
A15,34,0.0032036410106849405
A15,16,0.004310639652162861
A15,39,0.4682913214514012
A15,13,0.07485408765529421
A15,14,0.19085357207426024
A15,37,0.13021421858019122
A15,11,0.00567550577210807
A15,38,0.005868113473516216
A15,12,0.007008278493716594
A15,21,6.478531507672919E-4
A15,20,0.004931766548726781
A15,22,0.1632327155010477
A15,23,0.006654466391420178
A15,24,0.06528663062273116
A15,25,0.0029956716247919687
A15,26,9.742811684964344E-4
A15,27,0.1556925776933413
A15,28,0.0052720848270414265
A15,29,0.001148337892084496
A15,3,0.003737569836281172
A15,2,0.0029344738046029883
A15,10,0.16578531264046598
A15,1,0.003932830551693031
A15,0,0.001372123492894638
A15,7,0.009606712088555557
