silver-infovis-topics--userE.txt,lda_50_0.1_0.1,Score
E02,35,0.00555229303040139
E02,36,0.003896446726357726
E02,33,0.007606865156528926
E02,34,0.8214683314611202
E02,39,0.0013242113097405488
E02,37,0.0018181769810405538
E02,38,0.005088221550695966
E02,43,0.010013360224504284
E02,42,0.06290065474285608
E02,41,0.3786575690919459
E02,40,0.003295146353901594
E02,22,0.023227079297516193
E02,23,0.002572940724028245
E02,24,0.0029954914495629284
E02,25,0.3065905565902795
E02,26,0.005390248737876513
E02,27,0.05876283041636075
E02,28,0.01361297633231238
E02,29,9.189034215656005E-4
E02,3,0.0011687893153726407
E02,2,0.002969915639305573
E02,1,0.006481964313236478
E02,0,0.011555791552709608
E02,30,0.002591422451919281
E02,7,0.06842706690151779
E02,6,0.02291690214320325
E02,32,0.08417112537513577
E02,5,0.0029792454833192815
E02,31,0.007001290775268688
E02,4,0.004955229416600565
E02,9,0.002480511374029739
E02,8,0.007422703812616899
E02,19,0.28131308117517856
E02,17,0.42792029540896936
E02,18,0.46158178510395864
E02,15,0.12051240415152153
E02,16,0.2165145309128529
E02,13,0.02811097874676301
E02,14,0.0495441420045007
E02,11,0.00496133017056502
E02,12,0.23132718564824792
E02,21,0.005548996232159365
E02,20,0.003521023320006969
E02,49,0.0894414646648437
E02,48,0.012294437084199356
E02,45,0.19183286764040508
E02,44,0.1303048787271113
E02,47,0.0015659319559455504
E02,46,0.15497612774378253
E02,10,0.0016622640129091
E11,35,0.0630030515024302
E11,36,0.0010426334043216355
E11,33,0.0010836732299489343
E11,34,0.0011288100301178796
E11,39,0.05099260206658161
E11,37,0.001371043250149381
E11,38,0.0011170682779786927
E11,43,4.316701577667204E-4
E11,42,6.341598669043937E-4
E11,41,5.479312890175284E-4
E11,40,9.806884255314805E-4
E11,22,0.0010276981909639006
E11,23,0.001555534683114775
E11,24,0.0015416431904876236
E11,25,0.003834012688650785
E11,26,0.0038267271875346343
E11,27,3.756417516054377E-4
E11,28,0.0038413023383994964
E11,29,9.915042398992182E-4
E11,3,0.003036451095603089
E11,2,1.553973588835121E-4
E11,1,0.001278816456968792
E11,0,6.048881824169712E-4
E11,30,9.617458516861726E-4
E11,7,2.819603485664539E-4
E11,6,0.0017612654412863802
E11,32,0.0023699033114596697
E11,5,0.0016260465607891897
E11,31,0.0025671810246822952
E11,4,0.0010900939405527538
E11,9,0.001093336744492914
E11,8,0.0012833868237657922
E11,19,0.007463081951689864
E11,17,5.497413214312291E-4
E11,18,3.8030717090714697E-4
E11,15,2.972038876355246E-4
E11,16,0.0046778195011691415
E11,13,0.13094876383460044
E11,14,0.08104180835803848
E11,11,8.476477818554957E-4
E11,12,4.301167200423465E-4
E11,21,0.002078985353132328
E11,20,2.72174590695565E-4
E11,49,0.0033716714584998333
E11,48,0.018403720600005464
E11,45,0.00332036504826754
E11,44,0.002375434814641253
E11,47,7.961729349379187E-4
E11,46,0.002069977815278157
E11,10,0.0018364929056374649
E01,35,0.0012697469934643381
E01,36,0.0021353832859286304
E01,33,0.0033678563811277806
E01,34,0.00303750931714594
E01,39,0.008051480036775254
E01,37,0.004140249609572412
E01,38,0.0034914427929424517
E01,43,0.0019032482720246573
E01,42,5.360841116145925E-4
E01,41,0.0025033717240159794
E01,40,0.0025588019598153573
E01,22,0.03521079904837543
E01,23,0.001786702092001148
E01,24,0.006232465752061493
E01,25,0.0016729071110649371
E01,26,0.0019698552727757924
E01,27,0.003496509887765625
E01,28,0.0023174061661394205
E01,29,0.018708942631644493
E01,3,6.317884114444958E-4
E01,2,0.11063767618434778
E01,1,0.002006759460644469
E01,0,0.0014559684493102099
E01,30,5.907027222477291E-4
E01,7,0.0030135009066558625
E01,6,0.01792734908731973
E01,32,0.004185058677187953
E01,5,0.0012403307750027228
E01,31,0.003228401343121431
E01,4,8.538193800388912E-4
E01,9,0.6543154650582862
E01,8,0.01300227990415429
E01,19,0.0028226315723565236
E01,17,1.8317358207524243E-4
E01,18,3.606686265715483E-4
E01,15,0.01179928548796929
E01,16,0.3647351612909682
E01,13,0.002574414682350609
E01,14,9.131853985160191E-4
E01,11,0.009859218618713916
E01,12,0.001840027842598517
E01,21,0.052614245355746034
E01,20,0.006744740383033566
E01,49,0.001995022704517569
E01,48,0.0011104664024460585
E01,45,0.0050518132764487194
E01,44,0.0058994964887665435
E01,47,0.01788415691475077
E01,46,7.808687147425692E-4
E01,10,0.001810759821794969
E10,35,0.021926881661759687
E10,36,0.0011195913670059652
E10,33,0.0021773237406815704
E10,34,0.004013095702870391
E10,39,0.03248118616277713
E10,37,0.264197928638377
E10,38,0.22036158335503378
E10,43,0.0018950941329770566
E10,42,0.012796988394093219
E10,41,0.017411411490605554
E10,40,0.002633651753296012
E10,22,0.0036411849065582772
E10,23,0.0025515965773096594
E10,24,0.0026936603140356613
E10,25,7.877091011459632E-4
E10,26,0.017425551274578472
E10,27,5.419390017473317E-4
E10,28,0.0014369511517444277
E10,29,0.042733033920329434
E10,3,0.0010949490174516055
E10,2,7.857462002143953E-4
E10,1,0.00655498803032566
E10,0,0.0033806798096135443
E10,30,0.004437494598857655
E10,7,0.014349835852268397
E10,6,0.0020137962963392665
E10,32,0.005190580754983347
E10,5,0.005892011815555357
E10,31,7.155321777610728E-4
E10,4,0.00266961903412038
E10,9,0.004806313392759759
E10,8,0.0013564831355084442
E10,19,0.002281951295952571
E10,17,2.4069236777418645E-5
E10,18,6.082785882388444E-4
E10,15,0.0074833931953317105
E10,16,0.36871500450785555
E10,13,0.019647689128745083
E10,14,0.0012152611101316027
E10,11,0.0017142559186616353
E10,12,0.0029534435208239214
E10,21,0.13378953539081437
E10,20,0.00104369965349155
E10,49,0.004423443409979145
E10,48,0.021961289674385816
E10,45,0.002219525707085222
E10,44,0.5811571305976269
E10,47,0.0012753828772117716
E10,46,0.001874403334471274
E10,10,0.002164069024793247
E13,35,0.0030520666347923636
E13,36,0.006382186834366561
E13,33,0.005338621675737264
E13,34,0.004887125938730517
E13,39,0.001066472454015713
E13,37,0.04826145144693578
E13,38,0.0015119221200174235
E13,43,0.1668311717747904
E13,42,0.001406258990550154
E13,41,0.3146153676541463
E13,40,0.0032711534857000927
E13,22,9.289752611987362E-4
E13,23,0.003030134552510243
E13,24,0.0026814420933075145
E13,25,0.00920165229445245
E13,26,0.0024104538396638522
E13,27,0.0011100504753346954
E13,28,0.007607742955446764
E13,29,8.326152762701525E-4
E13,3,0.0010489838966109566
E13,2,0.0019171177923696203
E13,1,0.0022437714717097154
E13,0,0.0018478381115096094
E13,30,0.012271701640884581
E13,7,0.02542444472617149
E13,6,0.0016167503643486395
E13,32,0.004494296310727829
E13,5,0.004345516474713503
E13,31,0.002201807973283012
E13,4,0.0020188848621033183
E13,9,0.013283644903841088
E13,8,0.002394190502177842
E13,19,0.0011748068126125981
E13,17,0.0025851480834344774
E13,18,0.010750121554952622
E13,15,0.004944055536021027
E13,16,0.0431826400242226
E13,13,0.007080534808536458
E13,14,0.005798737162124641
E13,11,0.9449107773582672
E13,12,0.0012167322397884951
E13,21,0.0021979569124224757
E13,20,0.014323202189687677
E13,49,0.0034569038347369682
E13,48,0.0029995381724817896
E13,45,0.2092183699435615
E13,44,0.019165480339740967
E13,47,0.002343693671595997
E13,46,0.008400567215108947
E13,10,0.3190500667890353
E12,35,0.0018473747778406599
E12,36,0.002181095520009379
E12,33,0.006010997137821393
E12,34,0.005950588088935979
E12,39,6.349334428515312E-4
E12,37,0.0016482452585830426
E12,38,6.221364108941503E-4
E12,43,0.007147526360573899
E12,42,2.2873374799566783E-4
E12,41,0.004209452368655417
E12,40,9.85582049908057E-4
E12,22,0.002162327353638162
E12,23,0.0022604799689104867
E12,24,0.01787922791558196
E12,25,0.007920051522797053
E12,26,0.0011052851911736755
E12,27,0.0016420301336792223
E12,28,0.0018053118859219523
E12,29,0.10908356373788582
E12,3,0.0010313939676805427
E12,2,0.4348520032400082
E12,1,0.003680653890631548
E12,0,0.003939214500555986
E12,30,7.405495634408372E-4
E12,7,0.013591074487513415
E12,6,0.002386660824342104
E12,32,0.004426210226160974
E12,5,0.0017442334309149073
E12,31,0.2004860209904428
E12,4,0.001141310877991308
E12,9,0.0011073384834366744
E12,8,0.011951336185447642
E12,19,0.03313119378501272
E12,17,1.692545074457373E-4
E12,18,8.015051195925156E-4
E12,15,6.823707100354718E-4
E12,16,0.13920791962868742
E12,13,0.001214835562856928
E12,14,0.0023545004269258972
E12,11,0.05443555373160525
E12,12,0.9341544057055851
E12,21,0.0023115317533214047
E12,20,0.5047907417321772
E12,49,0.0038859095570370804
E12,48,0.0028400194726287318
E12,45,0.12851852563968322
E12,44,0.002125447384936885
E12,47,0.003163116091715935
E12,46,0.05783667086087448
E12,10,0.012698244776425838
E15,35,0.007840673234686513
E15,36,0.004838974961206376
E15,33,0.0034410383305427117
E15,34,0.0010097313839645592
E15,39,9.851260919833027E-4
E15,37,0.21295988285597706
E15,38,0.002036191777899221
E15,43,0.009954723243859062
E15,42,0.010130654036774319
E15,41,0.09950619391813968
E15,40,0.0014651255701978129
E15,22,0.08195469946162924
E15,23,0.09747875431191928
E15,24,0.6927438881917828
E15,25,0.03738008480239675
E15,26,0.002095860305672841
E15,27,0.0017096522602342318
E15,28,0.30992093768515316
E15,29,0.0065202851248552796
E15,3,0.001633318383416204
E15,2,0.0017139071207632037
E15,1,0.0019609875866547946
E15,0,0.010629402704874284
E15,30,0.19297228819072326
E15,7,0.024158400103575808
E15,6,0.005310274495361658
E15,32,0.00677729779016166
E15,5,0.003458878390757604
E15,31,0.0023015446146106605
E15,4,0.0038188140841389153
E15,9,0.008232646166642257
E15,8,0.0023231262653607746
E15,19,0.00323543118502849
E15,17,4.214578383028069E-4
E15,18,4.4781906402400123E-4
E15,15,0.004839742198106764
E15,16,0.15382416493704376
E15,13,0.012505789023661918
E15,14,0.0027188709498596544
E15,11,0.11575796163851919
E15,12,0.0031067158901287857
E15,21,0.002265585061025052
E15,20,0.0011729197372213433
E15,49,0.058083779612507665
E15,48,0.0027745147198010604
E15,45,0.19355340348549926
E15,44,0.006353984587843682
E15,47,0.0064244264031032726
E15,46,0.0025771469005479667
E15,10,0.017708845254022294
E06,35,0.046652132303116677
E06,36,0.004964538472678846
E06,33,0.4512896377710759
E06,34,0.001160848726238441
E06,39,0.025626457439602547
E06,37,0.0011053463996209064
E06,38,0.0016263775088897702
E06,43,0.13616697457178542
E06,42,4.3604547062564667E-4
E06,41,0.005383403254681528
E06,40,0.001042869478773393
E06,22,0.0032920422251234765
E06,23,0.0015431764483380473
E06,24,0.001088819376702348
E06,25,0.24255014791510726
E06,26,0.042775390389240796
E06,27,0.4089743812714125
E06,28,0.0011984163719926297
E06,29,9.352856519768472E-4
E06,3,0.0025050562825444664
E06,2,7.195357285050765E-4
E06,1,0.06794138419268764
E06,0,0.052936218753028876
E06,30,2.759224715456609E-4
E06,7,0.010502935853761148
E06,6,0.0010957668919841285
E06,32,0.0018187740582526356
E06,5,0.0012226262351117294
E06,31,0.00588563118481678
E06,4,9.198917720888496E-4
E06,9,0.022920354885170482
E06,8,0.0022860927106995456
E06,19,0.002276425129541642
E06,17,6.621011966472406E-5
E06,18,0.0026603580591977815
E06,15,0.008225662752280023
E06,16,0.2088918970617838
E06,13,0.0026418169879065083
E06,14,0.0030304216885939216
E06,11,0.011626574632322606
E06,12,0.007384519741737378
E06,21,3.932724279367006E-4
E06,20,0.057996095413520944
E06,49,0.0032017697947996394
E06,48,0.002463295079155053
E06,45,0.0015218902144442017
E06,44,0.0034683196834536505
E06,47,0.001775572280952982
E06,46,0.002807685401764038
E06,10,0.003879371732665642
E14,35,0.0029188428151679224
E14,36,0.002070109355705587
E14,33,0.19568811208180176
E14,34,0.012492223538040347
E14,39,7.039253145841179E-4
E14,37,0.0021540839143261467
E14,38,0.004275516144652574
E14,43,0.0022572023870727335
E14,42,0.9926448150291713
E14,41,0.003303864313092727
E14,40,0.003972586024308078
E14,22,0.005607238047237602
E14,23,0.0024799453085097025
E14,24,0.0022918561572063986
E14,25,0.002165089798244235
E14,26,0.037272759556516884
E14,27,0.001240223585245704
E14,28,0.019715786216728426
E14,29,0.0018091188052613502
E14,3,0.001488200778112536
E14,2,0.0025207711009703673
E14,1,0.0026130266181010244
E14,0,0.07137296140944724
E14,30,0.009491717634833087
E14,7,0.004230722877987914
E14,6,0.003891305868505071
E14,32,0.003840915316227615
E14,5,0.009456831926710185
E14,31,0.0032140526665859364
E14,4,9.848843553545363E-4
E14,9,0.006568920626090645
E14,8,0.0012673575051674799
E14,19,0.003651390831714419
E14,17,0.014493586890539005
E14,18,0.01259098062610819
E14,15,0.6085635184247918
E14,16,0.0038193851878923894
E14,13,0.0012280434274711545
E14,14,0.029128613502778622
E14,11,0.0024022392231851605
E14,12,0.006870356327088092
E14,21,0.0032000279652894385
E14,20,0.0018720717160164682
E14,49,0.003653056123697157
E14,48,0.0015391338041051902
E14,45,0.016133640530393525
E14,44,0.002685786263451503
E14,47,0.0019016015745276762
E14,46,0.006189246618164418
E14,10,0.003422770900820477
E05,35,0.02299231624678699
E05,36,0.001839287839023277
E05,33,0.005579388820996356
E05,34,9.631769426000182E-4
E05,39,0.9337687334120668
E05,37,0.003950558300537672
E05,38,0.0033251489997996064
E05,43,0.2502711218180487
E05,42,0.0021395767727034206
E05,41,9.198078679545321E-4
E05,40,0.004181793761612409
E05,22,0.0029322629556941273
E05,23,0.002902842370862829
E05,24,0.004023451746435093
E05,25,0.050042773293949114
E05,26,0.005549075150384379
E05,27,0.06790632365126387
E05,28,0.1994282017607369
E05,29,0.0016395698831793855
E05,3,0.8991504380921929
E05,2,0.002376750930122871
E05,1,0.0076703990241111086
E05,0,0.013189930072622143
E05,30,0.005015541873039753
E05,7,0.0017721990974329828
E05,6,0.0065122813074679166
E05,32,0.0025849404384872925
E05,5,0.01258354904029247
E05,31,0.006775040349094247
E05,4,0.0014877406902542337
E05,9,0.0013964059100261576
E05,8,0.06967806792796015
E05,19,0.0028020961458834516
E05,17,0.0010039511189214945
E05,18,0.0010166541063680453
E05,15,0.0017487427398606922
E05,16,0.08173315085118106
E05,13,0.38697511275246277
E05,14,0.0010204192750575929
E05,11,0.011638463687685265
E05,12,0.0027381187058304556
E05,21,8.789160350572637E-4
E05,20,0.0015196409187789059
E05,49,0.0026394785666591764
E05,48,0.0025004857431334265
E05,45,0.006936429143501777
E05,44,0.0017060060259518027
E05,47,0.0021046261787859804
E05,46,0.0037072464780377834
E05,10,0.0035858075613952956
E17,35,0.0032817467703363814
E17,36,0.015676997426161535
E17,33,0.0032102897732149845
E17,34,0.004059267094645234
E17,39,5.599417694521852E-4
E17,37,0.021967896245161125
E17,38,4.6684682116984846E-4
E17,43,0.0021721722152557793
E17,42,0.00432995614407406
E17,41,0.009259094145249011
E17,40,0.002617714325338033
E17,22,0.0025597579846352867
E17,23,0.002472454427593647
E17,24,0.006308050246488545
E17,25,0.0026912391484363325
E17,26,0.0397628617543257
E17,27,0.0018801393603153677
E17,28,0.017195038146142556
E17,29,0.0038717784501715153
E17,3,0.0015262125588131642
E17,2,0.001690701559687843
E17,1,0.04014421360023491
E17,0,0.0031084310372981876
E17,30,7.776238939098135E-4
E17,7,0.001574931355878997
E17,6,0.0207349766021055
E17,32,0.005623178721898231
E17,5,0.0028873097388756024
E17,31,0.0020456499524914656
E17,4,0.002487156451105918
E17,9,0.00681092543805251
E17,8,0.002413407317123808
E17,19,0.0027526304954728184
E17,17,0.009747862674750408
E17,18,0.0012324269595975351
E17,15,0.0036703249683615476
E17,16,0.003969012501911896
E17,13,0.011089508656485414
E17,14,0.0018723396716879394
E17,11,0.025906042556491864
E17,12,0.00459069317614074
E17,21,0.007231962126940081
E17,20,0.001548346440278925
E17,49,0.00397896817917185
E17,48,0.005525480463382205
E17,45,0.017101327232319927
E17,44,0.004874077718425564
E17,47,0.9018474957942093
E17,46,0.01842892415975329
E17,10,0.002336509055802822
E04,35,0.0011063462022767392
E04,36,0.0027125032708322197
E04,33,0.0038134268950123715
E04,34,0.9499948490582056
E04,39,0.0010709962384720633
E04,37,7.606157990597859E-4
E04,38,3.723187003856599E-4
E04,43,0.006255776672308033
E04,42,4.970581464167805E-4
E04,41,0.528485015198508
E04,40,0.009015839110389227
E04,22,0.001264190748300952
E04,23,0.0011879794969756748
E04,24,0.0012033745572050988
E04,25,7.219606539935615E-4
E04,26,0.0024388626498047378
E04,27,7.416617696803957E-4
E04,28,0.0016297863031058178
E04,29,0.001184136268794728
E04,3,0.0011172072577706482
E04,2,5.906159688723336E-4
E04,1,0.0025570777936521367
E04,0,0.002763095621681901
E04,30,8.082621661668646E-4
E04,7,6.704085272393683E-4
E04,6,0.0042727844356879536
E04,32,0.0021566165601829175
E04,5,0.006774040929837744
E04,31,0.0043535808598537265
E04,4,0.005815120472509387
E04,9,8.114807233514801E-4
E04,8,0.001338118788768367
E04,19,0.002394727130281695
E04,17,0.005035612604496497
E04,18,8.882883150452293E-4
E04,15,9.796659332275794E-4
E04,16,0.0012758671142759643
E04,13,0.0026068625562493983
E04,14,0.13010868037825826
E04,11,0.0017538682673994182
E04,12,0.0013218822888832213
E04,21,0.0010005989353495466
E04,20,6.059353021445448E-4
E04,49,0.3645687537870554
E04,48,0.0028826101181738217
E04,45,0.0014421337250069292
E04,44,0.0013453746960879547
E04,47,8.249535040413651E-4
E04,46,0.003517660642368023
E04,10,0.001650139743208845
E16,35,4.525390423594706E-4
E16,36,0.001388904270143519
E16,33,0.0011448330140574599
E16,34,0.001215506389260815
E16,39,3.090667194844016E-4
E16,37,4.4685050873437867E-4
E16,38,0.111721588627306
E16,43,8.903158890605625E-4
E16,42,0.007041439959927404
E16,41,6.42979120056537E-4
E16,40,0.26745665368655097
E16,22,9.49261655235438E-4
E16,23,0.0011723981367484947
E16,24,0.0014505186743041228
E16,25,0.01793471358308716
E16,26,5.041788185370997E-4
E16,27,5.393326175944637E-4
E16,28,0.0013000358425473179
E16,29,7.238342018756555E-4
E16,3,5.907216076355476E-4
E16,2,0.004828017668561833
E16,1,0.0016076372229789336
E16,0,0.0013640907288467704
E16,30,0.007982334196688319
E16,7,2.920321042425103E-4
E16,6,0.0013606631465842825
E16,32,0.051650120164560186
E16,5,0.30558742930678084
E16,31,0.002265366519994837
E16,4,7.052672160315326E-4
E16,9,0.01313362029976593
E16,8,6.191335368143839E-4
E16,19,0.001283978054192351
E16,17,9.388772743767809E-4
E16,18,7.549384282078472E-4
E16,15,7.056182560405622E-4
E16,16,0.0011599031416530336
E16,13,0.14052829651771304
E16,14,7.339068345902212E-4
E16,11,0.28769155876460467
E16,12,0.0016407952252491772
E16,21,6.32092626933202E-4
E16,20,6.958288102637962E-4
E16,49,0.0025729135786461558
E16,48,0.0012442551625353356
E16,45,7.464407462603408E-4
E16,44,7.216707111352023E-4
E16,47,0.016564044713861623
E16,46,0.0013130891506578923
E16,10,0.09155143791791427
E03,35,0.01925455362921564
E03,36,0.00276260915619645
E03,33,0.0013350266215670645
E03,34,0.002754042395148628
E03,39,4.3371497590815905E-4
E03,37,8.044827181680583E-4
E03,38,0.22931002923575916
E03,43,5.129899439566933E-4
E03,42,8.095925431418284E-4
E03,41,0.0015566227544194817
E03,40,9.365604269665634E-4
E03,22,7.380383520365839E-4
E03,23,0.0013970976630470187
E03,24,0.0021510178770957865
E03,25,0.027431568079682226
E03,26,0.0013518159092098185
E03,27,4.030748037559275E-4
E03,28,0.001222799236298295
E03,29,8.848688104254274E-4
E03,3,8.284435742948722E-4
E03,2,0.06711000733724692
E03,1,0.002013603917068399
