silver-infovis-topics--userI.txt,lda_5_0.01_0.1,Score
I20,3,8.994260298715866E-4
I20,2,0.0016458737511660306
I20,1,0.0023336693834103243
I20,0,0.004601409925828823
I20,4,0.12057384442482096
I12,3,0.01786091536910168
I12,2,0.009533663276399028
I12,1,0.08248331609662261
I12,0,0.01828116113113041
I12,4,0.6842594974868563
I13,3,0.011863421583342509
I13,2,0.002026066599505596
I13,1,0.00936014818305835
I13,0,0.07426182844123837
I13,4,0.1550949915378147
I01,3,0.041344346165293255
I01,2,0.22874365561558946
I01,1,0.07824817340167747
I01,0,0.10945354961549397
I01,4,0.02214597120383424
I10,3,0.012922661248158954
I10,2,0.7656960220992448
I10,1,0.01138183802636434
I10,0,0.023684261596416453
I10,4,0.1164631084175336
I02,3,0.004911876965975593
I02,2,0.06284434940789344
I02,1,0.008982082504588608
I02,0,0.5581367408690314
I02,4,0.1498054597953783
I11,3,0.035343683312160055
I11,2,0.00263403329320708
I11,1,0.3502770044089578
I11,0,0.07761551248465516
I11,4,0.3175405011760068
I21,3,0.013534912256228401
I21,2,0.0010099454448055586
I21,1,0.060145217339302226
I21,0,0.24142397399075885
I21,4,0.07442964843861478
I16,3,0.04088956694079719
I16,2,0.017005387635039285
I16,1,0.1478979130010965
I16,0,0.006086913124318825
I16,4,0.4189137976125868
I03,3,0.011623794288889072
I03,2,0.0031406447050784103
I03,1,0.014424986699462926
I03,0,0.21349704798478034
I03,4,0.09621345834778415
I17,3,3.351014820323404E-4
I17,2,0.010271379758786277
I17,1,0.033458623882651445
I17,0,0.010254457073603897
I17,4,0.013939781979780767
I04,3,0.007719056093944618
I04,2,0.013735002630380645
I04,1,0.11884849311292778
I04,0,0.014265760874957617
I04,4,0.11634113701830817
I14,3,0.0011345787466916137
I14,2,0.0067844014234022445
I14,1,0.0023206043757034544
I14,0,0.004647965481113564
I14,4,0.023237811367558918
I05,3,0.0023570923042350984
I05,2,0.7356991261975162
I05,1,0.3347709052731707
I05,0,0.6137873823146094
I05,4,0.005797317145107809
I15,3,0.005869301748055149
I15,2,0.006655862005217832
I15,1,0.3085901143982097
I15,0,0.05252730294805545
I15,4,0.016921661708239655
I06,3,0.02814522262102189
I06,2,0.1922605197684153
I06,1,0.1388138109654806
I06,0,0.15936914373650407
I06,4,0.2912995904075284
I08,3,0.0063952360598642
I08,2,0.00979927047802254
I08,1,0.01033685951859504
I08,0,0.440038516728562
I08,4,0.041311080661617754
I07,3,0.010520639373322952
I07,2,0.009625904532099676
I07,1,0.008041211483787343
I07,0,0.7173030201280868
I07,4,0.1762289231830356
I19,3,0.023450155032923508
I19,2,0.008040121301279842
I19,1,0.016241942943109454
I19,0,0.12607577786400834
I19,4,0.0488159355051232
I18,3,0.010624351625302696
I18,2,0.0018411192608301504
I18,1,0.007169800529198347
I18,0,0.01063232692141089
I18,4,0.30077727758571876
I09,3,0.010977551739074677
I09,2,0.8260281027283742
I09,1,0.3991051389368123
I09,0,0.03962442354007816
I09,4,0.0949547024721267
