silver-infovis-topics--userH.txt,lda_35_0.0001_0.001,Score
H16,18,0.08919827549093788
H16,33,0.23167633368750853
H16,15,0.00502514147969896
H16,34,0.0017691756128163632
H16,16,0.00426219685801044
H16,13,9.93707144329968E-4
H16,14,0.012495202974502856
H16,11,0.031094460935425308
H16,12,6.499786479024085E-4
H16,21,0.003874883837115538
H16,20,0.07478312415822297
H16,22,0.001027295404679332
H16,23,0.019260031422914214
H16,24,0.013397370931183502
H16,25,0.01131311517332835
H16,26,0.007690129196053841
H16,27,0.005477905457254794
H16,28,0.06696300413451224
H16,29,0.9612850388558659
H16,3,0.0014258952075092356
H16,2,0.07155511002607041
H16,10,0.9416856870716032
H16,1,0.011893561708409436
H16,0,0.02851240913949784
H16,7,0.19976203320252536
H16,30,0.005680699210688645
H16,6,0.20380161115137851
H16,5,0.0025184620793801387
H16,32,0.007985818910851565
H16,4,0.1433871078242966
H16,31,0.0032600287338371463
H16,9,0.016009671450080632
H16,8,0.053851793061921574
H07,19,0.10554768988128883
H07,17,0.004278485490156482
H07,18,0.14816345541848247
H07,33,0.007635602819128954
H07,15,0.007154292055448853
H07,34,0.7702628053383335
H07,16,0.7983577731831636
H07,13,0.022717332946842455
H07,14,0.016537861662855334
H07,11,0.08252083795293175
H07,12,0.0015148797583514214
H07,21,0.001613518457864053
H07,20,0.02874010708318388
H07,22,0.0046738851497070116
H07,23,0.01692609703478746
H07,24,0.003980206595026958
H07,25,0.010908784154558874
H07,26,0.0027491691939676563
H07,27,0.004660917251723275
H07,28,6.817642804334329E-4
H07,29,0.02954125382154393
H07,3,0.007103726094508244
H07,2,0.6364256961688589
H07,10,0.01583292599915185
H07,1,0.01921752560987167
H07,0,0.01061116960148422
H07,7,0.0625329326607513
H07,30,0.003850791122509266
H07,6,0.006712492070080377
H07,5,0.003599767217122365
H07,32,0.09385624249478544
H07,4,0.42001162778093776
H07,31,0.14506262147415694
H07,9,0.007527648210318341
H07,8,0.018720990167223873
H13,19,5.866685693684278E-4
H13,17,6.726991925561702E-4
H13,18,0.003451737034327871
H13,33,0.00279828985855103
H13,15,0.0029960200715295495
H13,34,0.0013658634595787149
H13,16,0.003675948407840103
H13,13,0.015266111180423083
H13,14,0.002802974188893356
H13,11,0.11295796974556896
H13,12,6.095659816795112E-4
H13,21,0.0012202411230667226
H13,20,0.004103355020770012
H13,22,9.899114593292066E-4
H13,23,0.006958123245800235
H13,24,0.0012412322676518298
H13,25,0.004397935159767271
H13,26,0.0036337118352280416
H13,27,5.39881099714273E-4
H13,28,3.433855263785941E-4
H13,29,0.002411966754147241
H13,3,0.0011919124304819752
H13,2,0.8196263949700624
H13,10,0.0013171562957920706
H13,1,0.20419091209911913
H13,0,0.020365145383279624
H13,7,0.006767178565858894
H13,30,0.0023711085243513295
H13,6,0.0032084082521268375
H13,5,0.0014251103332356264
H13,32,0.005660302801053807
H13,4,0.8829205675146183
H13,31,0.8185338778598694
H13,9,0.002683205392892668
H13,8,0.015062263579405617
H14,19,0.005148755470442465
H14,17,0.03679829033084516
H14,18,0.0018837856717505406
H14,33,0.0021087250074414464
H14,15,0.001301382750172142
H14,34,6.758259321342965E-4
H14,16,0.0010284528166107738
H14,13,8.387590838146253E-4
H14,14,1.8830686451523954E-4
H14,11,0.004740263608080669
H14,12,5.281676095186501E-4
H14,21,0.0011461907281943363
H14,20,0.004680191487006872
H14,22,4.843062278369636E-4
H14,23,0.0014666704162287375
H14,24,3.163050549753583E-4
H14,25,0.9961857146715045
H14,26,0.001139355772767388
H14,27,0.0015585813345323793
H14,28,8.804013137423608E-4
H14,29,3.1017054220637807E-4
H14,3,0.0012218536777751446
H14,2,0.0011701658346177088
H14,10,8.38910349134095E-4
H14,1,0.305421404454169
H14,0,2.3786553007891428E-4
H14,7,0.001306521495205835
H14,30,0.0022398578710496773
H14,6,0.022707498801565425
H14,5,0.0012251227021620296
H14,32,7.42002052579133E-4
H14,4,6.867360178598715E-4
H14,31,0.0012201452505870441
H14,9,0.004871142651240948
H14,8,0.0012471192576335858
H01,19,0.0037179193519147617
H01,17,0.007509629701868696
H01,18,0.004634996121386238
H01,33,0.0036454970773139956
H01,15,0.018042539795461426
H01,34,0.0035141528775330852
H01,16,0.0061721113866536805
H01,13,0.0019390482604489023
H01,14,0.0028769722315064254
H01,11,0.020017662619860446
H01,12,0.17019350654354956
H01,21,0.0025938917176447974
H01,20,0.04099350837083308
H01,22,0.0986718334979548
H01,23,0.8030249294830297
H01,24,0.037457589712439836
H01,25,0.013455706262972641
H01,26,0.051189726015360114
H01,27,0.038060549924571654
H01,28,0.030174326741437826
