silver-infovis-topics--userB.txt,lda_50_0.0001_0.001,Score
B19,35,6.882848952653245E-4
B19,36,8.59142170480806E-4
B19,33,0.0072701069420107985
B19,34,0.0010495356786628638
B19,39,3.209254829465945E-4
B19,37,0.03199807264172737
B19,38,4.317835247109257E-4
B19,43,9.496736983646625E-4
B19,42,5.929266188598231E-4
B19,41,0.45099089359881583
B19,40,7.054238234689622E-4
B19,22,0.011222049726274493
B19,23,5.096094010728936E-4
B19,24,0.203854329853845
B19,25,2.42877004913239E-4
B19,26,0.9336744358887279
B19,27,1.403033905330883E-4
B19,28,2.9645770667516974E-4
B19,29,5.739203084340517E-4
B19,3,9.841049018557851E-4
B19,2,0.44416385764180366
B19,1,0.002013839199044943
B19,0,0.0010320900547096897
B19,30,0.013748482354806727
B19,7,0.0015720677288284485
B19,6,0.0025238946380967326
B19,32,7.413455269444293E-4
B19,5,0.008139386278981512
B19,31,4.577841274859532E-4
B19,4,0.005788217150082884
B19,9,8.741389930372051E-4
B19,8,9.136408257009646E-4
B19,19,0.0014651978148171431
B19,17,3.895598756539746E-4
B19,18,8.617825514047528E-5
B19,15,3.1159872131284524E-4
B19,16,0.006229658189930826
B19,13,3.266526259901133E-4
B19,14,0.0012915129660547016
B19,11,1.9364613861018535E-4
B19,12,0.0024055034315075986
B19,21,0.006030665964084023
B19,20,9.620856887155196E-4
B19,49,0.00194774882020738
B19,48,0.01565576133021837
B19,45,4.1816239270857066E-4
B19,44,0.0029105416225863445
B19,47,0.001328702434874849
B19,46,0.0012240418837027045
B19,10,0.0012116936131180644
B06,35,0.006578961823028722
B06,36,0.0013061115675706246
B06,33,0.005410323526624692
B06,34,0.00312276435223675
B06,39,0.004038372654304076
B06,37,0.25572666763442503
B06,38,0.00798790173556248
B06,43,0.0018767826764006276
B06,42,0.0056311543233137544
B06,41,0.001686637883675952
B06,40,0.0013665191712514777
B06,22,0.002555065730647433
B06,23,0.007983771146521797
B06,24,0.0023255788258473415
B06,25,5.044259815995772E-4
B06,26,0.001329344368540342
B06,27,2.2676556919151808E-4
B06,28,0.001070971959190322
B06,29,5.731547886132927E-4
B06,3,0.01040497186445531
B06,2,0.0025648767564495074
B06,1,0.05050458419924819
B06,0,0.0016591125762115352
B06,30,0.6045179383390074
B06,7,0.0020007939626638066
B06,6,0.0032099781266118634
B06,32,0.0011641853722310822
B06,5,0.005271494793496896
B06,31,0.06205029570672184
B06,4,0.003447444796888453
B06,9,9.402578646478345E-4
B06,8,0.015574250464954968
B06,19,0.001864445976851448
B06,17,0.01874206830823644
B06,18,0.0018646629687393706
B06,15,0.21518396639158627
B06,16,0.08298100831861663
B06,13,0.0016352377357734453
B06,14,0.1482862482708702
B06,11,2.495045056878867E-4
B06,12,0.0037500139508226654
B06,21,0.00134347815080507
B06,20,0.010183909746834712
B06,49,0.01438214142619716
B06,48,0.0026039185832572114
B06,45,0.05552163190864425
B06,44,0.0010779153575240987
B06,47,0.0017609181275993902
B06,46,0.0028879580475087577
B06,10,8.482566399682752E-4
B07,35,0.0021373170577840043
B07,36,0.0030399668467381885
B07,33,0.0026595912577779225
B07,34,0.020909080323104963
B07,39,0.3074167106291954
B07,37,0.08992812425047966
B07,38,0.0023704604324789958
B07,43,0.05364368292014788
B07,42,0.0040350819489018905
B07,41,0.0023011610533195536
B07,40,0.18815755161792902
B07,22,0.025689612654909714
B07,23,7.379800743868571E-4
B07,24,0.0015736479941759836
B07,25,0.002568805268412935
B07,26,0.0016474261010724963
B07,27,0.009093088352752944
B07,28,0.01677394328969596
B07,29,0.0016910176411441492
B07,3,0.01572786355417257
B07,2,0.006231500765021768
B07,1,0.06939896123463486
B07,0,0.025336704281397535
B07,30,0.004793229921001879
B07,7,0.0028467912753715146
B07,6,0.007496786424417137
B07,32,0.0956664726541457
B07,5,0.0062766767477251545
B07,31,0.002259727494050422
B07,4,0.0029723250900996617
B07,9,0.004037896325301976
B07,8,0.0014428675521664786
B07,19,0.004636834659715265
B07,17,0.0010371888262678394
B07,18,0.001954043358095668
B07,15,0.642762121290995
B07,16,9.937179455705145E-4
B07,13,0.00144812059913865
B07,14,0.0024596484414341523
B07,11,0.9714946242921049
B07,12,0.002574454002600662
B07,21,0.015283554103278559
B07,20,0.0016347452117486084
B07,49,0.01003222596052167
B07,48,0.002820099695100212
B07,45,0.008374374381464503
B07,44,0.00731273314348765
B07,47,0.0032965370413240726
B07,46,0.0033958505815750105
B07,10,6.389178882865353E-4
B17,35,0.007994420349405021
B17,36,0.0018676261495265006
B17,33,0.0029313569051110768
B17,34,0.012289771468763368
B17,39,0.003356777718727763
B17,37,0.009094306659554397
B17,38,0.0032211237212612554
B17,43,0.7526874726983288
B17,42,4.1969548305693884E-4
B17,41,0.0033968391903024964
B17,40,0.0029032372937875302
B17,22,0.005659438115833953
B17,23,0.0030715172108970157
B17,24,0.0019466693291585763
B17,25,6.845118400117987E-4
B17,26,0.002953043892664906
B17,27,0.0042772257156452
B17,28,0.7382211564097044
B17,29,0.39562077428421705
B17,3,0.06281292535154619
B17,2,0.0015784975020647824
B17,1,0.002399902033852629
B17,0,0.004107951771139762
B17,30,0.001779660287284727
B17,7,8.713964954160528E-4
B17,6,0.0011114781399108582
B17,32,0.0027040269898476145
B17,5,0.0026492439699036838
B17,31,0.019664222678677408
B17,4,7.922773689648131E-4
B17,9,0.0017843991143909296
B17,8,0.002157755330104429
B17,19,0.013363924991512238
B17,17,8.03184881764717E-4
B17,18,1.0890432202688396E-4
B17,15,0.008406159428125394
B17,16,0.0017909309150225196
B17,13,0.6651779401218257
B17,14,0.034226809198419646
B17,11,0.01353049189025425
B17,12,0.0040854705550352225
B17,21,0.003492485920481928
B17,20,0.016154972844694814
B17,49,0.002412032245431972
B17,48,0.007796679959547446
B17,45,0.0026761282819435937
B17,44,0.0028014663658276324
B17,47,0.0017292008559482896
B17,46,0.002136129175511626
B17,10,0.0014258511067906884
B08,35,0.00567804847895754
B08,36,0.0021308184117867757
B08,33,0.0035323808730041728
B08,34,0.01541374312305975
B08,39,0.9708095201761636
B08,37,0.16465964187014145
B08,38,0.013518351824147977
B08,43,0.06760807860420705
B08,42,0.012577792299217858
B08,41,0.004374150215793985
B08,40,0.003985039185642881
B08,22,0.06448446359025257
B08,23,0.003352958915013977
B08,24,0.0036692430031491537
B08,25,0.017877108464746286
B08,26,0.0025229878681993973
B08,27,0.7186823288672785
B08,28,0.013581416068861601
B08,29,0.9536220390339458
B08,3,0.13197047218350175
B08,2,0.004337953247756949
B08,1,0.12935234822754102
B08,0,0.013210395891948648
B08,30,0.11646934398810857
B08,7,0.011518534456624806
B08,6,0.07969304660639955
B08,32,0.12256865552246131
B08,5,0.0195578737919757
B08,31,0.003088087413036512
B08,4,0.01683166598054915
B08,9,0.8811620132595815
B08,8,0.002432465859379325
B08,19,0.0023727289115738313
B08,17,0.09746875400846096
B08,18,0.001844020633423537
B08,15,0.13608971094668612
B08,16,0.005509580874290132
B08,13,0.050234551301639424
B08,14,0.0041590235467891595
B08,11,0.203174203691957
B08,12,0.007090481438588278
B08,21,0.027337435094733027
B08,20,0.001898814570899293
B08,49,0.003236055451837411
B08,48,0.005695746187147111
B08,45,0.03619130473744755
B08,44,0.01651542459343186
B08,47,0.005857599333689223
B08,46,0.0031484685856734097
B08,10,0.007003324852658624
B18,35,0.005604046502318847
B18,36,0.0013592133534029052
B18,33,0.0010808440635752992
B18,34,9.102152722593687E-4
B18,39,0.0070976180131585055
B18,37,0.033770197917930865
B18,38,0.006206294837755953
B18,43,0.014485957872529407
B18,42,4.3916126490947747E-4
B18,41,0.0031377879838741544
B18,40,0.0013553834986134914
B18,22,0.01668256910903778
B18,23,4.2384336865011914E-4
B18,24,0.001430697149160017
B18,25,0.010222900352953944
B18,26,9.951305038082123E-4
B18,27,0.21433079521458429
B18,28,0.008183217011164956
B18,29,4.5788046834147896E-4
B18,3,7.832945140874371E-4
B18,2,0.0017513840682821789
B18,1,0.0010437399982599095
B18,0,0.005648294373346646
B18,30,0.002174604197456684
B18,7,0.0022170514601162787
B18,6,0.008007882439857698
B18,32,0.9311336954644148
B18,5,0.0018609612984922465
B18,31,0.00608735805868597
B18,4,7.157890420413451E-4
B18,9,3.6978530887723935E-4
B18,8,0.003379111094592844
B18,19,0.003030727540876586
B18,17,0.0045421281292595365
B18,18,0.003652653166398988
B18,15,7.845550709273481E-4
B18,16,0.007130448570397551
B18,13,0.8129868361671783
B18,14,0.0014953695040676829
B18,11,0.0011929613470316222
B18,12,0.002503618445987863
B18,21,0.005841716588218721
B18,20,0.0027662618227805376
B18,49,0.0026144769812858244
B18,48,0.002000461146536695
B18,45,0.01741687210378232
B18,44,0.0035657237231277892
B18,47,0.0026157493045342512
B18,46,0.0017528589142815224
B18,10,0.0012072821694370979
B09,35,0.005542311891170206
B09,36,0.0019291318889376366
B09,33,4.743661126460928E-4
B09,34,0.0041880634848631085
B09,39,0.006017324167082238
B09,37,0.08811024391984915
B09,38,0.004082106646741215
B09,43,0.0021886250597200453
B09,42,9.133524550060441E-4
B09,41,0.0039060963716448685
B09,40,0.0050731636027052315
B09,22,0.024477508130648244
B09,23,0.009702138779134629
B09,24,0.0025596715628579273
B09,25,0.018003539052878385
B09,26,0.0023053432660077883
B09,27,9.668502251560407E-4
B09,28,5.302091077805404E-4
B09,29,0.1693958907822765
B09,3,0.0014147741359911746
B09,2,0.002696018333869136
B09,1,0.0031372409921556644
B09,0,0.008104664486409155
B09,30,0.004837802752776482
B09,7,0.015015757335077694
B09,6,0.03120657415343295
B09,32,0.0014189767554353193
B09,5,0.002866595758670463
B09,31,0.0016894712375492577
B09,4,0.002943946479952788
B09,9,0.0037006068662352913
B09,8,0.0021842960160026368
B09,19,0.0019568505416111778
B09,17,0.001347647480918239
B09,18,0.03367136643957655
B09,15,0.0016578776718433961
B09,16,9.474507293736111E-4
B09,13,0.017555589180454113
B09,14,0.1756887837110564
