silver-infovis-topics--userC.txt,lda_40_0.01_0.1,Score
C16,19,8.772349666503021E-4
C16,35,0.0015066087398595137
C16,17,0.002820123204256834
C16,36,0.0015249016277352062
C16,18,0.0016971197739958617
C16,33,0.003285525604227544
C16,15,0.1936088137562604
C16,34,0.7300030339727666
C16,16,0.0010046711869461345
C16,39,0.01738480523054342
C16,13,0.003095071785784879
C16,14,0.0030734596635551507
C16,37,0.0142487280222345
C16,11,0.0031860562590206145
C16,38,0.03963751175991807
C16,12,0.0013754964219594
C16,21,0.001428140077802048
C16,20,6.824989960910928E-4
C16,22,0.0030787610989545617
C16,23,0.016365298705757758
C16,24,0.011326900569995524
C16,25,0.0036751899364988183
C16,26,0.0019631899747200258
C16,27,0.0012650419015064558
C16,28,0.0018917902419741338
C16,29,0.0012414799744969733
C16,3,0.0032287576807592533
C16,2,0.01578424147088169
C16,10,0.9384839787406619
C16,1,0.0024959670065185465
C16,0,0.0023259585060673854
C16,7,0.2252445065221765
C16,30,0.003103142100567706
C16,6,0.001724529970601525
C16,5,0.0741658449328956
C16,32,8.881466277542859E-4
C16,4,0.00536800405634386
C16,31,0.007169911836945507
C16,9,0.013968650043399448
C16,8,0.008874006762140675
C07,19,0.002071415484378022
C07,35,0.041162655237627965
C07,17,0.0017861029881018754
C07,36,4.772291056988796E-4
C07,18,0.050888171176665276
C07,33,0.0012169379752652173
C07,15,0.344830811481204
C07,34,2.3519530875190374E-4
C07,16,0.012145940316441685
C07,39,0.007949463859452914
C07,13,0.0014255713741022904
C07,14,0.0016311451760195007
C07,37,0.004940525313158972
C07,11,0.30899553030941274
C07,38,0.0017026639563549983
C07,12,0.0019956443451293435
C07,21,6.790511349135468E-4
C07,20,0.52462757739959
C07,22,0.0035673124664496137
C07,23,0.0018033281607142215
C07,24,0.0020150041092372242
C07,25,0.006863415559880901
C07,26,0.0014245833974373962
C07,27,3.815260287147444E-4
C07,28,8.108202097383163E-4
C07,29,0.0011511205957301538
C07,3,0.0022372225179703798
C07,2,6.687139100275294E-4
C07,10,0.0015416673077645346
C07,1,0.0043523851537194
C07,0,0.005428713937245135
C07,7,7.345099357956555E-4
C07,30,1.551535369094657E-4
C07,6,0.5736130189406268
C07,5,0.007961336712983581
C07,32,5.942161800003348E-4
C07,4,0.03282446867936015
C07,31,8.316433013816377E-4
C07,9,0.0013871491877316536
C07,8,1.4651699786255367E-4
C17,19,0.002780287903312091
C17,35,0.001599821455846977
C17,17,0.0011506110302646113
C17,36,3.0018031760940806E-4
C17,18,0.07850964834699889
C17,33,0.002398516551686076
C17,15,0.003609516828402265
C17,34,0.001764571113978789
C17,16,0.024281684569257906
C17,39,0.053955277180203376
C17,13,0.44721377470494955
C17,14,0.011168091799146462
C17,37,8.18083680461053E-4
C17,11,6.978184598415776E-4
C17,38,0.002255329008304914
C17,12,0.23401812547913411
C17,21,0.0015873496589244992
C17,20,0.11886793916059747
C17,22,3.074697543978168E-4
C17,23,5.059645174784127E-4
C17,24,5.689847576176355E-4
C17,25,0.0017119541918721793
C17,26,0.0024397100236100435
C17,27,0.001036910514731278
C17,28,0.0017384241627288696
C17,29,0.0015648240192139243
C17,3,0.01327597817513524
C17,2,0.002201124488823614
C17,10,2.725996417515371E-4
C17,1,0.03207692983685189
C17,0,0.0037186885297680753
C17,7,6.4835319460563E-4
C17,30,0.002967216008345305
C17,6,0.013686119642493253
C17,5,0.007362088803344345
C17,32,0.004057120376801392
C17,4,4.2800106427218074E-4
C17,31,0.0012301530906822552
C17,9,0.0010816994303276737
C17,8,0.0014540493175199726
C08,19,0.003186849960846639
C08,35,0.00530542540055238
C08,17,0.9891329518182581
