silver-infovis-topics--userD.txt,lda_25_0.001_0.0001,Score
D20,19,0.08037552442019048
D20,17,0.04466760624222559
D20,18,0.0029704453820480806
D20,15,0.0028036504543818
D20,16,0.06091895644570179
D20,13,4.7306216224528145E-4
D20,14,0.0076390932483266704
D20,11,0.002871727683574256
D20,12,0.006102104545214458
D20,21,0.00376569839876376
D20,20,0.0023852107896063027
D20,22,0.015213911448024874
D20,23,0.019668850565573614
D20,24,0.03135361830397412
D20,3,0.007227967203881469
D20,2,0.012058895045575899
D20,10,0.002959847393070411
D20,1,0.005061780468696534
D20,0,0.2347701467227873
D20,7,0.015418690309341796
D20,6,0.01917636166084302
D20,5,0.09395622024101256
D20,4,0.012998181622756856
D20,9,0.001824749729394532
D20,8,0.04198733607061787
D19,19,0.003001061118983407
D19,17,0.03950341309759035
D19,18,0.8219079131502922
D19,15,0.0014571852319307872
D19,16,0.002313180485800664
D19,13,0.0014279894189812875
D19,14,0.0015958015542136318
D19,11,0.0011172352193570512
D19,12,0.002595131859015115
D19,21,0.0014483533321845887
D19,20,4.317706446157222E-4
D19,22,0.014613386918763242
D19,23,0.0032158944042495682
D19,24,0.0012165422415616035
D19,3,0.014770251516851936
D19,2,0.002370326477621648
D19,10,0.0035401282287052128
D19,1,3.8751599531301403E-4
D19,0,0.001186841007721471
D19,7,0.001010555819581789
D19,6,0.003189752886459886
D19,5,5.808733157150136E-4
D19,4,0.0033427416793510994
D19,9,0.0012358524188682827
D19,8,0.0010098366262929355
D09,19,0.0030297284701553055
D09,17,0.003410332386955807
D09,18,0.0024046307434797574
D09,15,0.004419742805607867
D09,16,0.0031983315686340327
D09,13,0.09203355284779752
D09,14,0.0028970620523638
D09,11,0.09203663292460307
D09,12,0.1522440517505134
D09,21,0.1101812378400977
D09,20,0.06623449844949032
D09,22,0.025483294633263858
D09,23,0.01034682345028007
D09,24,0.01661533743971659
D09,3,0.0017393464124356086
D09,2,0.011888490260335194
D09,10,0.002001265591972065
D09,1,0.7460246077973718
D09,0,0.0063632759976303644
D09,7,0.15109256352271705
D09,6,0.0030959958065801293
D09,5,0.004746658489965802
D09,4,0.021710233070783826
D09,9,0.002271704129996201
D09,8,0.005439291352419935
D08,19,0.42752661392233676
D08,17,0.35013012360307033
D08,18,0.009711876060337785
D08,15,0.03235207751845491
D08,16,0.3223421710091453
D08,13,0.0026844589777758254
D08,14,0.0533129817454506
D08,11,0.046790776064506615
D08,12,0.0015001610519327585
D08,21,0.1316099302754944
D08,20,0.1521227619211941
D08,22,0.00406464254850203
D08,23,0.002896016912378098
D08,24,0.0024869384778966872
D08,3,0.342941451082386
D08,2,0.007373695926034199
D08,10,0.11127617719693442
D08,1,0.04836954889009273
D08,0,0.003667533354314132
D08,7,0.13255691303352618
D08,6,0.00789124292493585
D08,5,0.5997731781858473
D08,4,0.03469527964473341
D08,9,0.006530001169283354
D08,8,0.002844420770203525
D16,19,0.03631180620828359
D16,17,0.005348003503328991
D16,18,0.027832298692389502
