silver-infovis-topics--userH.txt,lda_35_0.1_0.01,Score
H09,19,0.004066508307476462
H09,17,0.615561059488092
H09,18,0.04775856348942595
H09,33,0.006983684268326557
H09,15,0.00740282896111892
H09,34,0.2527030130678544
H09,16,0.06051751604088816
H09,13,0.003613265880519023
H09,14,0.23276831324375877
H09,11,0.0050340970441177255
H09,12,0.05326406722036157
H09,21,0.014142834087236952
H09,20,0.026433175048043916
H09,22,0.31154090553935376
H09,23,0.005277327682363141
H09,24,0.0012225461210389032
H09,25,0.013744789095242986
H09,26,0.007187369574378395
H09,27,0.01781125007430374
H09,28,0.021729091628950998
H09,29,0.004646792612997769
H09,3,0.003528244602616041
H09,2,0.025984271761182606
H09,10,0.24276537100106194
H09,1,0.04454933070972924
H09,0,0.09295275842175194
H09,7,0.008103746923120134
H09,30,0.007421989885933743
H09,6,0.003941868904463548
H09,5,0.01042136683164085
H09,32,0.006003481959111859
H09,4,0.009265943494516003
H09,31,0.01020028701025262
H09,9,0.003888258201308175
H09,8,0.004281835857033119
H08,19,0.31959905574308667
H08,17,0.004164583855553497
H08,18,3.4746173785096986E-4
H08,33,3.713769700056477E-4
H08,15,0.028128913420129305
H08,34,0.07101095764728096
H08,16,0.016434992620597843
H08,13,0.003303423506737708
H08,14,0.002225038441916319
H08,11,0.0010521289108889305
H08,12,0.004214712145421131
H08,21,0.002866835241171248
H08,20,0.019573136032662166
H08,22,6.609507816570517E-4
H08,23,0.0030239431282773907
H08,24,0.0013227678346142732
H08,25,0.03722210873846998
H08,26,0.001808191946458012
H08,27,0.00309481169123339
H08,28,0.005238033650853034
H08,29,0.0013001488178163
H08,3,0.004105763957736765
H08,2,0.01044095787433747
H08,10,0.0019496516013547977
H08,1,0.0032583673068426362
H08,0,0.004664404588698782
H08,7,0.0034346388077160688
H08,30,0.0021506261348719813
H08,6,0.0065374233607353
H08,5,0.006873309562185589
H08,32,0.002107828590581059
H08,4,0.0025628493324541006
H08,31,0.002627372615482853
H08,9,0.0033268525703564616
H08,8,0.00232720330971643
H19,19,0.0036426075789579514
H19,17,0.003363209681289163
H19,18,0.39988210865659046
H19,33,0.0025171323311873727
H19,15,0.005067609534916645
H19,34,0.0017765501985418067
H19,16,0.02657757893106982
H19,13,0.009307625975932767
H19,14,0.0031160816447208823
H19,11,0.00260369627837195
H19,12,0.024535783168832512
H19,21,0.00759158630346669
H19,20,0.0040611465719756585
H19,22,0.0011731992946299745
H19,23,0.0027974021982270477
H19,24,0.0014113163114424152
H19,25,0.005228478584648401
H19,26,0.02832568477071811
H19,27,0.005537290562673734
H19,28,0.015931775182875994
H19,29,8.111183208500345E-4
H19,3,0.003470876085019646
H19,2,0.0016986294111594653
H19,10,0.026620085676813437
H19,1,0.0010505611328884197
H19,0,0.6329922581064044
H19,7,0.016320248748361407
H19,30,0.0035839330935893833
H19,6,0.001189755864093733
H19,5,0.0018104260110440133
H19,32,0.29538142493777364
H19,4,0.016303853366268228
H19,31,0.0026339439633979085
H19,9,0.0027560883064958698
H19,8,0.0034465129203072177
H17,19,0.09877317397828082
H17,17,0.011620138894808318
H17,18,8.84588019142087E-4
H17,33,3.8378782895914825E-4
H17,15,0.007397898361621824
H17,34,0.2314168348188031
H17,16,0.011163757631944604
H17,13,0.00817033925694094
H17,14,0.006047100438206195
H17,11,0.11111503149142792
H17,12,0.004358679630086206
H17,21,0.0030636726880987754
H17,20,0.04488442510879549
H17,22,0.0032319902244354604
H17,23,0.005749073523123343
H17,24,0.0013762378527949683
H17,25,0.007626046644097027
H17,26,0.0022730423836318852
H17,27,0.004771641407525144
H17,28,0.03474661461304659
H17,29,0.0013623936090283858
