silver-infovis-topics--userE.txt,lda_20_0.1_0.1,Score
E02,19,0.0019302863906578733
E02,17,0.006450389519224947
E02,18,0.008919783445689273
E02,15,0.01334796702842442
E02,16,0.07293798784406917
E02,13,0.012012471518238935
E02,14,0.2589567501018473
E02,11,0.2812824859026884
E02,12,0.1522112099392662
E02,3,0.09231252307371644
E02,2,0.004181570770635539
E02,1,0.8680082762321462
E02,10,0.031433175075657176
E02,0,0.3289093038325769
E02,7,0.01118320090866586
E02,6,0.12873183448629122
E02,5,0.22734448009911346
E02,4,0.6077691508295717
E02,9,0.08660634458764842
E02,8,0.011177279059463164
E11,19,8.599727923168051E-4
E11,17,0.0019060994097512547
E11,18,0.0031183004215225513
E11,15,0.10129278807202342
E11,16,1.7736392790358848E-4
E11,13,0.0017581682528582101
E11,14,7.685876775642478E-4
E11,11,0.0033179421487535415
E11,12,0.0022902486635734028
E11,3,0.0040130824554685295
E11,2,0.0024252347328582334
E11,1,0.0012668145677986133
E11,10,0.47816986084121355
E11,0,0.0011999873369275044
E11,7,0.0015676728430782613
E11,6,0.006748746653346493
E11,5,0.004908641550051633
E11,4,0.001215358633194317
E11,9,3.733032264267447E-4
E11,8,0.019991632278629254
E01,19,0.009128415740905053
E01,17,0.10490010038699775
E01,18,0.09823814519082409
E01,15,0.012090291311336902
E01,16,0.0031453827487021905
E01,13,0.0038195208915615597
E01,14,0.003549222620899587
E01,11,0.4113004414599005
E01,12,0.0018326875583528966
E01,3,0.06806063519996415
E01,2,0.0028953795929221758
E01,1,0.028278725865303278
E01,10,0.006282742197978974
E01,0,9.110029389514692E-4
E01,7,0.6564740461904383
E01,6,0.19889610634889793
E01,5,0.0037622753874539416
E01,4,0.001926423840612478
E01,9,0.011285348031236734
E01,8,0.019938517854737502
E10,19,7.370126008501664E-4
E10,17,0.003753670154866152
E10,18,0.00788813248375741
E10,15,0.002234684249168043
E10,16,8.49053300516691E-4
E10,13,0.17906423618751174
E10,14,0.027250755364472506
E10,11,0.006130718724351486
E10,12,6.854704662690085E-4
E10,3,0.35397191939594375
E10,2,0.013204129488864685
E10,1,0.004238790420237761
E10,10,0.0074387151252064
E10,0,0.03783436783349919
E10,7,0.010334126927327972
E10,6,0.7124439007278077
E10,5,0.043586621684924616
E10,4,0.0022661883422348717
E10,9,0.0014080264807010234
E10,8,0.056574300527399965
E13,19,0.9707220844286749
E13,17,0.4507793521825759
E13,18,0.0033413787498641494
E13,15,0.008293569326677675
E13,16,0.01831766536713342
E13,13,0.003712449310327011
E13,14,0.3382653625703567
E13,11,0.060120520408574636
E13,12,0.005653818367640173
E13,3,0.17164340539983347
E13,2,0.023308585185467145
E13,1,0.007410397380925468
E13,10,0.007098286628386775
E13,0,0.18528817953263718
E13,7,0.029502065796183696
E13,6,0.030946684374102643
E13,5,0.015257803709555501
E13,4,0.05852145601586846
E13,9,0.002841746836558048
E13,8,0.0038752090654305097
E12,19,0.007556769875549514
E12,17,0.09415351178074942
E12,18,0.019234430994629917
E12,15,0.09532516690870829
E12,16,0.010746459185693013
E12,13,0.001259542344088753
E12,14,0.010685517114140819
E12,11,0.2543012203927459
E12,12,0.0011191601199172696
E12,3,0.058222897240153504
E12,2,0.0048526904959970045
E12,1,0.011464727390646553
E12,10,0.005021455026232833
E12,0,0.0010688257472609357
E12,7,0.043711414855280545
E12,6,0.10170048784534308
E12,5,0.005604807123921107
E12,4,0.00805436911406404
E12,9,0.8835937437567013
E12,8,0.03821428075353184
E15,19,0.03053722736529678
E15,17,0.04031623832970456
E15,18,0.008351552631939516
E15,15,0.005983546007053762
E15,16,0.015199511213485385
E15,13,0.001885548051928962
E15,14,0.12603794844406366
E15,11,0.14044458675591256
E15,12,0.10053538203475734
E15,3,0.20045057570288524
E15,2,0.640478188023835
E15,1,0.0013265757009884949
E15,10,0.006837282484871746
E15,0,0.0021105006302234133
E15,7,0.006493196596445565
E15,6,0.4042738186009156
E15,5,0.006770347423995267
E15,4,0.020280757053245176
E15,9,0.0020765228172428575
E15,8,0.09331053972897908
E06,19,0.0066074859538554935
E06,17,0.006010591031179587
E06,18,0.1129602200466222
E06,15,0.009584014604487585
E06,16,0.005843677584838952
E06,13,0.031098210372695924
E06,14,0.0016983225948069799
E06,11,0.009671862647189462
E06,12,3.644788390774727E-4
E06,3,0.0906125177061897
E06,2,0.013627519369759741
E06,1,0.003023718881458746
E06,10,0.0086023826319562
E06,0,0.0016892995804312836
E06,7,0.5076067970833233
E06,6,0.2223554832005584
E06,5,0.006190286328917249
E06,4,0.18897120321056446
E06,9,0.008110758613560544
E06,8,0.0011056851613729796
E14,19,7.441079898729257E-4
E14,17,0.004000525437494811
E14,18,0.6450209295581839
E14,15,0.003524638743801029
E14,16,0.003508323779474526
E14,13,0.09677650371563104
E14,14,0.01715708843133754
E14,11,0.013771777749303023
E14,12,0.3904880817996732
E14,3,0.04791461366575215
E14,2,0.008467761564466903
E14,1,0.01168762157421112
E14,10,0.03897170572012719
E14,0,0.25851805518106696
E14,7,0.011741932085147622
E14,6,0.010101076475149219
E14,5,0.8463477280776247
E14,4,0.0224735259294944
E14,9,0.005822249176638527
E14,8,0.007905291694620583
E05,19,0.036925509194886325
E05,17,0.012341038589640837
E05,18,0.002371250254907625
E05,15,0.9114830876331295
E05,16,9.369828498688653E-4
E05,13,0.021813029537471725
E05,14,0.001590216239574496
E05,11,0.0027462198504329747
E05,12,0.01172313954765359
E05,3,0.07069127405853078
E05,2,0.08335728876259031
E05,1,9.376368042446295E-4
E05,10,0.011070255668813969
E05,0,0.002113560173280728
E05,7,0.014340301133237475
E05,6,0.006052738874241562
E05,5,0.004854268341463858
E05,4,0.002014239916019497
E05,9,0.004654161231210474
E05,8,0.002003800069991315
E17,19,0.01945097458087698
E17,17,0.846594756371668
E17,18,0.051824650506206826
E17,15,0.001536017024330743
E17,16,0.0010926114344421126
E17,13,0.0014814060593836887
E17,14,0.012154356208846381
E17,11,0.007708454196037516
E17,12,0.007536424123055689
E17,3,0.013819389137081627
E17,2,0.10770869987746369
E17,1,0.006381112674940775
E17,10,0.005062918732416607
E17,0,0.01634095071701841
E17,7,0.010657133431629752
E17,6,0.006713572045032029
E17,5,0.010783892736140523
E17,4,0.005290113161583317
E17,9,0.005170815147720038
E17,8,0.03774112226082393
E04,19,9.509405477702813E-4
E04,17,0.00399844510829381
E04,18,0.005532334664259515
E04,15,0.002222643730260606
E04,16,5.899382253077797E-4
E04,13,8.349102618321434E-4
E04,14,0.38343458173921924
E04,11,0.002022893835043508
E04,12,0.011186631067149467
E04,3,0.0042330818725601045
E04,2,0.001724959146149429
E04,1,0.9775866228921318
E04,10,0.04025200529148717
E04,0,0.001801881156138244
E04,7,0.0020311672457644075
E04,6,0.0017718819856201422
E04,5,0.06778537770570828
E04,4,0.0024728536310477042
E04,9,0.0016646258084158539
E04,8,0.0012325898793029632
E16,19,0.5374649473514035
E16,17,0.0035273767502636594
E16,18,0.0019359020283333946
E16,15,9.20357826610874E-4
E16,16,6.708980745015803E-4
E16,13,0.009864700446723426
E16,14,0.001164806530841235
E16,11,0.0013336891951437227
E16,12,0.006492193894090716
E16,3,0.0014703381114689541
E16,2,0.002374623453640123
E16,1,0.0021820255311643913
E16,10,0.0037939589657030827
E16,0,0.0015661309467481389
E16,7,0.01867286147741601
E16,6,0.0035082731152456087
E16,5,0.5954862999240504
E16,4,0.008578190663860048
E16,9,0.006548312019430803
E16,8,0.002034875424351625
E03,19,8.531149066087889E-4
E03,17,0.004411698532284503
