silver-infovis-topics--userB.txt,lda_30_0.1_0.01,Score
B19,19,7.596005586611755E-4
B19,17,0.0020308230863993475
B19,18,9.639295164896068E-4
B19,15,0.0019108953522419213
B19,16,0.007800743704179364
B19,13,0.002088195665526703
B19,14,0.27650040819312516
B19,11,0.029895949376043302
B19,12,0.002058996947514198
B19,21,8.21195306862938E-4
B19,20,8.294925350679516E-4
B19,22,0.016430914491820305
B19,23,0.03676197063149917
B19,24,0.002127544613338675
B19,25,9.781116516855957E-4
B19,26,9.18833480624827E-4
B19,27,0.004366665422731834
B19,28,0.002534548462349773
B19,29,9.345454732211223E-4
B19,3,0.005612738143068612
B19,2,5.127071413599325E-4
B19,10,9.872087512759968E-4
B19,1,0.04615120776843291
B19,0,8.967412427232598E-4
B19,7,4.425271260810828E-4
B19,6,7.281766472666815E-4
B19,5,0.0026475437092365155
B19,4,6.007612283627048E-4
B19,9,0.9573998352140741
B19,8,0.002513785199733606
B06,19,0.005088044429274038
B06,17,0.0028441759422364018
B06,18,0.0030699726189024087
B06,15,0.003610687142060845
B06,16,0.04492154598757905
B06,13,0.003906508182853384
B06,14,0.002553230542763569
B06,11,0.01685265209527438
B06,12,0.22217361408745204
B06,21,0.001368514633404383
B06,20,0.01719936976639261
B06,22,0.0018917529754688173
B06,23,0.1566833998289792
B06,24,0.011399707330703328
B06,25,0.0021582855627387916
B06,26,0.011725698816365279
B06,27,0.0018601486755331059
B06,28,0.013550261179364156
B06,29,0.010679507536257193
B06,3,0.0033972859327910444
B06,2,0.02486739707430702
B06,10,0.17692562451036592
B06,1,0.25422980098236275
B06,0,0.03119678712340075
B06,7,4.063604326692044E-4
B06,6,0.06469695251989532
B06,5,0.4191208391812445
B06,4,0.001911372054557343
B06,9,0.00211739719134231
B06,8,0.0023522057578467333
B07,19,0.0026638308303375906
B07,17,0.0029316640433559573
B07,18,0.02868279436411891
B07,15,0.04714195374454067
B07,16,0.005474460555547048
B07,13,0.02458642922364731
B07,14,0.002260695329384647
B07,11,0.006387019566373374
B07,12,0.006636001896925827
B07,21,0.005588226790877159
B07,20,0.0037978456847151437
B07,22,0.006022479042794723
B07,23,0.06145175269144926
B07,24,0.043495408100765034
B07,25,0.0036101933424973164
B07,26,0.056212658623979575
B07,27,0.01058128783545849
B07,28,0.012979151621133172
B07,29,9.701446201527176E-4
B07,3,0.003950475499235958
B07,2,0.9819085822946587
B07,10,0.002306827299613583
B07,1,0.12420915862285528
B07,0,0.001489242692457097
B07,7,0.09025934666121833
B07,6,0.007734053847045661
B07,5,0.005960523532441311
B07,4,0.25928248946372584
B07,9,0.0030342762037559178
B07,8,0.0384168992424525
B17,19,0.008692349309920688
B17,17,0.004271930417250629
B17,18,0.3175105304158232
B17,15,0.0025584134918573546
B17,16,0.15537448218415512
B17,13,0.005758829161482562
B17,14,0.0036358731065613144
B17,11,0.0031707076055340804
B17,12,0.009050867147467168
B17,21,0.0022216435842628453
B17,20,0.6509763923052075
B17,22,0.0013454794669532952
B17,23,0.013403804582169585
B17,24,0.0037358024297218283
B17,25,5.934673188148908E-4
B17,26,0.4801767439394129
B17,27,0.004244438273445199
B17,28,0.0022920229632735966
B17,29,8.191861866543241E-4
B17,3,0.00233879037361432
B17,2,0.3670503740428524
B17,10,0.00262470384445265
B17,1,0.01144953002380168
B17,0,0.004165286928232834
B17,7,0.0011322454449556871
B17,6,0.0035446040495113696
B17,5,0.11482883445351486
B17,4,0.0036450424863671135
B17,9,0.006064758856141437
B17,8,0.005109236804268209
B08,19,0.012954699057936971
B08,17,0.07176289866532493
B08,18,0.030927772148089592
B08,15,0.021605268703296678
B08,16,0.02832098728748913
B08,13,0.014835997725293579
B08,14,0.00442422857392997
B08,11,0.04081359858001473
B08,12,0.003549959413843429
B08,21,0.020830097765712412
B08,20,0.03517031276778245
B08,22,0.0059416804066440565
B08,23,0.10604041542071801
B08,24,0.009505044018973612
B08,25,0.005350550414951908
B08,26,0.8791596260698806
B08,27,0.022633130569283236
B08,28,0.08584665978466298
B08,29,0.0019090895544803242
B08,3,0.006605793679414749
B08,2,0.26133254811433093
B08,10,0.026017800692701265
B08,1,0.23174422780226075
B08,0,0.04702544486634967
B08,7,0.7819961187382274
B08,6,0.01304366837438419
B08,5,0.0900556730275592
B08,4,0.9707149130789617
B08,9,0.0044136748819157134
B08,8,0.007300741717239602
B18,19,0.008244304063374149
B18,17,0.002026162263339057
B18,18,0.003334813924810754
B18,15,0.0019213907747448813
B18,16,7.306344095650227E-4
B18,13,0.8492740417765127
B18,14,0.0030389046511755174
B18,11,0.002177259160071335
B18,12,0.0034547094631764835
B18,21,0.002116067080964409
B18,20,0.6372131810034606
B18,22,0.0016685224792513638
B18,23,0.027354121199447044
B18,24,0.0021936344239232024
B18,25,0.002147904259388559
B18,26,0.004158483046500078
B18,27,0.005366257256998453
B18,28,0.023921385655553035
B18,29,0.004929557635892638
B18,3,0.0014448703851286024
B18,2,0.002297429535301647
B18,10,0.00960956741144528
B18,1,0.049344404559087444
B18,0,0.0211310093968739
B18,7,0.22905802281668933
B18,6,0.006348941744249325
B18,5,0.002065103106908836
B18,4,0.002759157460185069
B18,9,0.0020683875225542534
B18,8,0.0027930605742940207
B09,19,0.0015152792155012126
B09,17,0.008862541190872339
B09,18,0.002750921287329842
B09,15,0.2658770456927058
B09,16,0.0011399448598944616
B09,13,0.005361593090866107
B09,14,0.003284264454138025
B09,11,0.0023598391570564706
B09,12,0.015374720088415537
B09,21,0.0019390072171174984
B09,20,0.004027407343925875
B09,22,0.006216722796567736
B09,23,0.07783088446829953
B09,24,0.004569317377447337
B09,25,0.010972421179143158
B09,26,0.002626118811543995
B09,27,0.01027409583677953
B09,28,0.004761874981938336
B09,29,0.9649259121934788
B09,3,0.003924256599048227
B09,2,0.004322207749071734
B09,10,0.03849329936561385
B09,1,0.12958853022733768
B09,0,0.0012008353895730053
B09,7,0.07341729348745651
B09,6,0.005381774999085863
B09,5,0.09384512267360157
B09,4,0.006585945588274411
B09,9,0.007496649033679811
B09,8,0.009813001293475654
B11,19,0.17564435891501612
B11,17,0.013365741836575922
B11,18,0.005659782307420774
B11,15,0.008764036607709967
B11,16,0.008002190692247146
B11,13,0.0032378000364320313
B11,14,0.0017944080734557148
B11,11,0.008071967415306117
B11,12,0.004662015957452558
B11,21,0.0018089276085226254
B11,20,0.008985956341252916
B11,22,0.015866348728424535
B11,23,0.10266299796481372
B11,24,0.3137810669698862
B11,25,0.05594515994276355
B11,26,0.0043377444933783635
B11,27,0.010525724558037507
B11,28,0.0036605666515767904
B11,29,0.00222039250809094
B11,3,0.004336455838359826
B11,2,0.009003366003786758
B11,10,0.008413534912205452
B11,1,0.13419494576922908
B11,0,0.8366741427313789
B11,7,0.004265286894864624
B11,6,0.0024749789725875718
B11,5,0.09795916103236632
B11,4,0.005382424833661481
B11,9,0.004200807659342758
B11,8,0.005124247479771042
B12,19,0.0038945900221207287
B12,17,0.006339825393252674
B12,18,0.0022611671131015816
B12,15,0.0025465892289849752
B12,16,0.9908454170952123
B12,13,0.0018796495202274342
B12,14,0.051900424006852935
B12,11,0.2885236184866478
B12,12,0.003280951694979835
B12,21,7.574052234416114E-4
B12,20,0.0024503109256083246
B12,22,0.0020471710766533204
B12,23,0.003802180302194924
B12,24,0.12842810846383917
B12,25,0.001768852262676549
B12,26,0.019935592562459508
B12,27,0.0023818887474169807
B12,28,0.009299924470993759
B12,29,8.382316527069688E-4
B12,3,0.012490962494139345
B12,2,9.413252553632652E-4
B12,10,9.67666625416575E-4
B12,1,0.002993736035560345
B12,0,0.0034109349251743746
B12,7,7.627045573326883E-4
B12,6,0.001161384922654229
B12,5,0.005008943355919341
B12,4,0.0011895784731712886
B12,9,0.049324294189378254
B12,8,0.003945144974890275
B01,19,0.011156228833824064
B01,17,0.004870404679094191
B01,18,0.0069961135116517435
B01,15,0.007890307650167417
B01,16,0.03426371989339965
B01,13,0.24363710546681852
B01,14,0.14219787254310684
B01,11,0.0322077719457663
B01,12,0.005046863257538978
B01,21,0.11685247248011049
B01,20,0.029601966127398363
B01,22,0.0015387849412918798
B01,23,0.606481574229125
B01,24,0.011637803424324362
B01,25,0.023682046907727478
B01,26,0.0296685723651993
B01,27,0.04040233668346947
B01,28,0.0047271247301730835
B01,29,0.007078068618708229
B01,3,0.07695417869681209
B01,2,0.002328217248153682
B01,10,0.0033778685866692167
B01,1,0.024793760209105196
B01,0,0.0012366257052605488
B01,7,0.004662665095845734
B01,6,0.00813542702835864
B01,5,0.5485028654100663
B01,4,0.0055191119006003705
B01,9,0.004241497333181576
B01,8,0.0027267194999273945
B10,19,0.20014721773991817
B10,17,0.1732420754382728
B10,18,0.0018543551364913029
B10,15,0.00304151053984166
B10,16,0.029490578449763785
B10,13,0.002173585958788766
B10,14,0.07053074678827023
B10,11,0.005773780061092678
B10,12,0.008256125255083277
B10,21,8.238165778058248E-4
B10,20,0.0023610746717792914
B10,22,0.001557912285215907
B10,23,0.004544932801947784
B10,24,0.003617360844113141
B10,25,0.562006119784991
B10,26,0.004193118138663381
B10,27,5.837851395541196E-4
B10,28,0.012881276298642002
B10,29,8.439760053545363E-4
B10,3,0.10348503586205442
B10,2,0.005546462335417599
B10,10,0.0010613389510785948
B10,1,0.005528804544978523
B10,0,0.002191741885858378
B10,7,0.04639053379850011
B10,6,0.035973307665669474
B10,5,0.10143550933938121
B10,4,0.019908462900647964
B10,9,0.003297254721242388
B10,8,0.0016002319476842715
B15,19,0.008597627363383268
B15,17,0.004594848672748826
B15,18,0.03777044815469646
B15,15,0.0029857875929700907
B15,16,0.004190945228824023
B15,13,0.004054500370916792
B15,14,0.006714112425622291
B15,11,0.016069709324460515
B15,12,0.002862732191670178
B15,21,0.988753932116901
B15,20,0.005770694803707675
B15,22,0.0030224205066500726
B15,23,0.13932286748582973
B15,24,0.0246486279633336
B15,25,0.0013736148600250713
B15,26,0.0012786098826089764
B15,27,0.01083121809971614
B15,28,0.0035227570681994193
B15,29,0.0051774534614628335
B15,3,0.0022336503589174446
B15,2,0.0018696109517809436
B15,10,0.012772812993203103
B15,1,0.2246629347099633
B15,0,0.009329078806286036
B15,7,0.0043839145998282765
B15,6,0.0061819723640536605
B15,5,0.010117386753303245
B15,4,0.004520981855633376
B15,9,0.003067240890540452
B15,8,0.004612976505495565
B02,19,0.006981678415029146
