silver-infovis-topics--userJ.txt,lda_30_0.001_0.1,Score
J20,19,0.013985952802996684
J20,17,0.0021323434933819413
J20,18,0.016408600457677964
J20,15,0.0033688122448210147
J20,16,0.0016361525306168763
J20,13,0.0031607507516231534
J20,14,0.00235597198806485
J20,11,0.015879822020371834
J20,12,0.0024902927543037747
J20,21,0.03674900029131335
J20,20,0.010551621608217909
J20,22,0.004599658004009026
J20,23,0.003062133344722245
J20,24,0.09162657622721389
J20,25,0.003357071510042259
J20,26,0.0024677383285523578
J20,27,0.004519565695167723
J20,28,0.008061018473358035
J20,29,0.004574776332996081
J20,3,0.29829706402008177
J20,2,0.03116534251116573
J20,10,0.3633655937180314
J20,1,0.004254617015844252
J20,0,0.09370049476893968
J20,7,0.003977547448184174
J20,6,0.8192191821923952
J20,5,0.0031119818787718836
J20,4,0.010494572038500816
J20,9,0.004157650247856603
J20,8,0.014837540374672609
J21,19,0.017127056873326343
J21,17,0.015615970277950947
J21,18,0.1697393117270224
J21,15,0.0037778558432427205
J21,16,0.013025223690679877
J21,13,0.05316716575822171
J21,14,0.005262333697160821
J21,11,0.004786356729079536
J21,12,0.004175072291311987
J21,21,0.00653855024138921
J21,20,0.16952667805610439
J21,22,0.002264251459865244
J21,23,0.002479553091618181
J21,24,0.005524688817152562
J21,25,0.019739681095645695
J21,26,0.02285612124927643
J21,27,0.0020192084415922413
J21,28,0.0027566986268910444
J21,29,0.01824232512356682
J21,3,0.034267804780129606
J21,2,0.07154228940512695
J21,10,0.09190239135822639
J21,1,0.0017882620276315757
J21,0,0.010642819925743894
J21,7,0.809537941455817
J21,6,0.18985606815597786
J21,5,0.003810906983209184
J21,4,0.008733390892262875
J21,9,0.18667558817871588
J21,8,0.002949028457855299
J22,19,0.02928814043325296
J22,17,0.002866339732322931
J22,18,0.003990626410329384
J22,15,0.009561441285806596
J22,16,5.308092472616912E-4
J22,13,0.03629270904518749
J22,14,0.004401847050122227
J22,11,0.021092699910076576
J22,12,0.006015660241095947
J22,21,0.005084470063941103
J22,20,0.0032073314022535247
J22,22,0.002800128752187105
J22,23,0.0015270668966749603
J22,24,0.002087812548516437
J22,25,0.0013040003109279108
J22,26,0.01357388634327767
J22,27,0.0020764629162213786
J22,28,0.005757757707113465
J22,29,0.013176893739830785
J22,3,0.002680380214498414
J22,2,0.5221475137655243
J22,10,9.06293674341712E-4
J22,1,0.6584606668834639
J22,0,0.0016614517639596327
J22,7,0.003116971404078561
