silver-infovis-topics--userC.txt,lda_25_0.001_0.01,Score
C16,19,0.10193019699707845
C16,17,0.003292568970230813
C16,18,0.0029333728735013347
C16,15,0.9297928416613729
C16,16,0.006232026675677139
C16,13,0.0024957491475993045
C16,14,0.0504540538116793
C16,11,0.009675097508634073
C16,12,0.009358486301216013
C16,21,0.04177881253921998
C16,20,0.03635826353309831
C16,22,0.002726771617966721
C16,23,0.0022411285489080776
C16,24,0.01329344422681409
C16,3,0.017135427811240344
C16,2,0.012884895108069316
C16,10,0.007272952767230071
C16,1,0.01588745614591312
C16,0,0.001955992146249036
C16,7,0.010908781674769772
C16,6,0.6918819728638751
C16,5,0.004197723101389925
C16,4,0.0038153194988170807
C16,9,0.10563927000756755
C16,8,0.0031372272009885546
C07,19,0.009602726823368922
C07,17,0.026458717028993793
C07,18,0.0016502183157208908
C07,15,0.0017696824027800633
C07,16,0.0019068245846041577
C07,13,0.001423091084805444
C07,14,6.925388443862873E-4
C07,11,0.004696552384231072
C07,12,0.06739959433853654
C07,21,0.004434849191627412
C07,20,0.03531173403327638
C07,22,0.5186181368675761
C07,23,0.01995011684556125
C07,24,0.0033028289036849566
C07,3,0.005948993448946492
C07,2,0.015565326147474898
C07,10,0.0017594295207822702
C07,1,0.001969381113630007
C07,0,0.061656163036620346
C07,7,0.00258023690980296
C07,6,5.235204259534631E-4
C07,5,0.03281099122240559
C07,4,0.01643670324418273
C07,9,0.058932526565348635
C07,8,0.4957553232926961
C17,19,0.004162479995780509
C17,17,0.8052131318480801
C17,18,0.0025052070684245613
C17,15,2.8964385578544687E-4
C17,16,0.002902212462549655
C17,13,0.00355901077485866
C17,14,0.009560210607871013
C17,11,0.01460934394167592
C17,12,0.040215331354250115
C17,21,0.0011902699141756719
C17,20,0.09625639805723356
C17,22,0.22261725208439712
C17,23,0.0772804814130397
C17,24,0.0673837785643881
C17,3,0.007432505577968255
C17,2,9.12342437045192E-4
C17,10,0.0012806183220049382
C17,1,0.0029068515674989977
C17,0,0.00399068509732401
C17,7,0.03287009229323408
C17,6,0.0030040358006858995
C17,5,0.002867367599131191
C17,4,0.007114034940599537
C17,9,7.524869206789315E-4
C17,8,0.10398309514091418
C08,19,0.0111447755142332
C08,17,0.6188802742734381
C08,18,0.0022727707645298035
C08,15,0.0025089458436499345
C08,16,0.9920465792379352
C08,13,0.0050566294867311935
C08,14,0.0022393799041505644
C08,11,0.01106238075046566
C08,12,0.001648008701505191
C08,21,0.44488352857287333
C08,20,0.0020518144935595824
C08,22,0.0012755816670501413
C08,23,0.03831339129772721
C08,24,0.6322540230902033
C08,3,8.721781034437363E-4
C08,2,0.0012352965642352803
C08,10,0.005762091663721303
C08,1,0.009679842509030936
C08,0,0.003015374518008794
C08,7,0.02391521462600588
C08,6,0.02438241863321015
C08,5,0.018953311123058706
C08,4,0.004678548911667732
C08,9,0.002512988307597592
C08,8,0.00196855642857194
C18,19,0.005778202565916593
C18,17,0.47223506104293533
C18,18,0.48797162416800177
C18,15,2.195277220377602E-4
C18,16,0.00225635194776207
C18,13,0.03971414176276284
C18,14,0.0022735874319121424
C18,11,0.00415550464017261
C18,12,0.0016768432011628044
C18,21,2.5142053688704245E-4
C18,20,4.24487044760776E-4
C18,22,0.001989119367885101
C18,23,0.0053485843893586885
C18,24,0.0028990390537762087
C18,3,0.0017025459104794715
C18,2,6.497006086993648E-4
C18,10,6.297288076885201E-4
C18,1,0.0021942470274405337
C18,0,0.003482908446629515
C18,7,0.002501504905358997
C18,6,8.055572212429244E-4
C18,5,0.0032005614880265317
C18,4,0.057262491943966286
C18,9,0.003974713368550378
C18,8,0.04449746242150292
C05,19,0.005913539753420365
