silver-infovis-topics--userG.txt,lda_30_0.01_0.0001,Score
G09,19,0.009846289455813952
G09,17,0.004898681436777462
G09,18,0.0039082760777554865
G09,15,0.05656922931664069
G09,16,0.0037271026331444634
G09,13,0.0026317752165716
G09,14,0.0013330731979323434
G09,11,5.7800677847892E-4
G09,12,2.8466732703377875E-4
G09,21,0.023142394995308655
G09,20,0.0030967582739512313
G09,22,0.009797416587182181
G09,23,0.004020275546300106
G09,24,0.5943050784795291
G09,25,9.508264908879636E-4
G09,26,6.045064010860153E-4
G09,27,0.003880464740774022
G09,28,0.0012191053436066144
G09,29,0.0019624056429924075
G09,3,0.03575915877908187
G09,2,4.317841393298229E-4
G09,10,0.001707773715922367
G09,1,0.002123240351307442
G09,0,0.0013418663312317035
G09,7,0.001269573163074566
G09,6,0.004085767206684314
G09,5,1.5603714111583417E-4
G09,4,0.010892727637223857
G09,9,3.5707571258305457E-4
G09,8,0.003658686353612222
G15,19,2.3075442164985534E-4
G15,17,0.005687356930213234
G15,18,3.26512686089918E-4
G15,15,0.004182485275597068
G15,16,0.002304453406920345
G15,13,0.0013602937148495095
G15,14,0.0017117017239344362
G15,11,0.021030559683078077
G15,12,0.23270638649344796
G15,21,0.01928964257665925
G15,20,0.009971630933976097
G15,22,3.6165108571966026E-4
G15,23,0.00510243978043057
G15,24,0.015636241702927423
G15,25,7.781297359623225E-4
G15,26,0.0013391623775589928
G15,27,0.005860578274466234
G15,28,0.3156473122499627
G15,29,5.469733161067958E-4
G15,3,0.03138862062698765
G15,2,0.0020005751852673337
G15,10,0.0010331191074285553
G15,1,0.0029299737529001153
G15,0,0.008698944705594533
G15,7,3.0941981443080894E-4
G15,6,0.0026588913138144033
G15,5,0.0032761589426452934
G15,4,0.9222969922844267
G15,9,0.036243835951338385
G15,8,0.020441595176855072
G02,19,0.0062497440209018035
G02,17,0.010353196387716307
G02,18,6.275589298068178E-4
G02,15,0.18128692221718767
G02,16,0.08732584106811811
G02,13,0.10126838243874771
G02,14,0.1076796063745922
G02,11,8.628696014564097E-4
G02,12,0.03183658570548507
G02,21,0.002996509508048774
G02,20,0.012382914707358552
G02,22,0.028229438241651236
G02,23,0.11215076557887801
G02,24,0.0873673225771397
G02,25,0.07794128595556772
G02,26,0.9297403410252404
G02,27,0.05868180445531501
G02,28,0.11147720216161033
