silver-infovis-topics--userD.txt,lda_50_0.01_0.1,Score
D07,26,0.002212162228258634
D07,27,0.1411143343146543
D07,28,6.094118945617797E-4
D07,29,5.035305351092451E-4
D07,3,0.001946541559175906
D07,2,0.0011023790204517992
D07,1,0.001522392530170549
D07,0,9.057673394183233E-4
D07,30,0.04276372937791717
D07,7,3.4165972233024484E-4
D07,6,2.052478502560562E-4
D07,32,0.01718531886393635
D07,5,0.13389376228012545
D07,31,9.696523498257438E-4
D07,4,5.085757733081098E-4
D07,9,1.5359178330276964E-4
D07,8,6.88909127577625E-4
D07,19,8.546752775130347E-4
D07,17,0.0023082167619269665
D07,18,0.001138424493413385
D07,15,0.0036249793647997277
D07,16,0.08982977502703281
D07,13,4.562991884783257E-4
D07,14,0.007154176364265341
D07,11,0.0013883847181006994
D07,12,3.0774271399388497E-4
D07,21,8.13694276796208E-4
D07,20,0.25921418523592354
D07,49,0.03686006374316022
D07,48,9.444393128064714E-4
D07,45,5.014106172370695E-4
D07,44,4.5922658049496907E-4
D07,47,0.0012407403635889191
D07,46,0.0020458409200981736
D07,10,0.0035449348441358654
D15,35,0.002141060772731273
D15,36,0.001193601936848915
D15,33,0.01731887811942674
D15,34,0.0020259959567222744
D15,39,0.004408445218189087
D15,37,0.0012120691498412378
D15,38,0.005942840831646583
D15,43,0.0051682135148225766
D15,42,0.09769851204393738
D15,41,0.0028608235123132567
D15,40,0.0023592541298830838
D15,22,0.0028146271204824626
D15,23,0.0017150066897158977
D15,24,0.0019164309230902644
D15,25,0.00285519173279569
D15,26,0.4795256836631001
D15,27,0.008588064949366467
D15,28,0.0014167031302790992
D15,29,5.877697274171416E-4
D15,3,0.9771577015764703
D15,2,0.0029732860689882625
D15,1,0.24711063635637232
D15,0,0.024089059484822307
D15,30,0.009752143970887901
D15,7,0.15685614908882828
D15,6,4.074413895259432E-4
D15,32,0.003645766244750299
D15,5,0.0025385983601060053
D15,31,0.004250571193512929
D15,4,0.0015440290564825328
D15,9,6.724814669593369E-4
D15,8,0.14646033547173962
D15,19,0.2903309996680486
D15,17,0.006274365337050515
D15,18,0.0013854006271964124
D15,15,0.00585360998166555
D15,16,0.004414866671830777
D15,13,0.013961127967626372
D15,14,0.02459609750577429
D15,11,0.0016245287425098352
D15,12,0.027913225351229944
D15,21,0.001823592005620954
D15,20,0.04081298319888517
D15,49,0.002522352216520634
D15,48,0.0019560592525729864
D15,45,0.03588213513141107
D15,44,0.0013939380231808116
D15,47,0.004422868904378049
D15,46,0.003231259353691288
D15,10,0.006136368033519047
D06,35,0.0023430289188501245
D06,36,0.0018076784790965964
D06,33,0.001466236950316605
D06,34,0.0011527931652427713
D06,39,8.301874433238311E-4
D06,37,0.11427832784903205
D06,38,0.002202756491398352
D06,43,0.00569289694901244
D06,42,0.026427342668277468
D06,41,0.019148020850195416
D06,40,0.8807101414429196
D06,22,0.7132997800031674
D06,23,0.0010052187207622311
D06,24,8.199302145795701E-4
D06,25,0.0031079792319372184
D06,26,0.0018953486042083132
D06,27,0.06859334934108059
D06,28,0.0023813439340982395
D06,29,0.005372597753388941
D06,3,0.0019286342237120487
D06,2,5.585607982578672E-4
D06,1,0.5280475854607118
D06,0,0.04131743749272818
D06,30,0.0023409961510331145
D06,7,0.0017565633412334723
D06,6,3.1815932567971485E-4
D06,32,0.002670360667987025
D06,5,0.0029175926845554498
D06,31,0.027396565517339818
D06,4,0.01684689693467823
D06,9,0.0013014587901576484
D06,8,0.08539816285628736
D06,19,0.08262978402323906
D06,17,0.006493557172076223
D06,18,0.0035921681577853865
D06,15,3.914534786977339E-4
D06,16,0.3051902006900901
D06,13,0.0016808098876090743
D06,14,0.0025692853582367963
D06,11,0.0028146063857027535
D06,12,4.4231567299360175E-4
D06,21,0.0012772854655519498
D06,20,0.004210955357920393
D06,49,0.02660661831460252
D06,48,9.428663830650382E-4
D06,45,9.487928466885415E-4
D06,44,0.0017452465372085784
D06,47,0.0023250661652441072
D06,46,0.0018191846737794003
D06,10,0.0021553765320969395
D18,35,0.010395510836089162
D18,36,0.0018566848643890282
D18,33,4.5622902389159085E-4
D18,34,0.685517517949671
D18,39,0.0015805832471088828
