silver-infovis-topics--userC.txt,lda_30_0.01_0.1,Score
C16,19,0.003976324588660287
C16,17,8.922864130031044E-4
C16,18,0.6875569694275484
C16,15,0.0011891723695251983
C16,16,0.004183761221512786
C16,13,0.0017639890018094483
C16,14,0.013020088671206657
C16,11,0.062429661010980124
C16,12,0.0024475618003518412
C16,21,0.008718001179951754
C16,20,0.0017476162435669385
C16,22,0.008027985728806048
C16,23,0.003446807472429285
C16,24,0.0018039899060714342
C16,25,0.003333573388307693
C16,26,0.0025574935325162872
C16,27,0.002132007942124559
C16,28,0.009118177573133216
C16,29,0.006885076137655765
C16,3,0.938465407832286
C16,2,0.0019387856002803917
C16,10,0.011373719949051009
C16,1,0.3098948244470886
C16,0,0.13664364742655524
C16,7,0.00116786622589295
C16,6,0.001337274644891518
C16,5,0.016859615127409577
C16,4,0.0015649416407279705
C16,9,0.01914918298096747
C16,8,0.008630750831876493
C07,19,0.010424480453058483
C07,17,0.08823275682304361
C07,18,4.618606488351862E-4
C07,15,6.160399643391721E-4
C07,16,0.5034854241542739
C07,13,0.10902722215273986
C07,14,0.0025116129360697997
C07,11,0.0011819225256357372
C07,12,0.002296897414889853
C07,21,4.216185261251691E-4
C07,20,0.0017888348062042605
C07,22,0.0021102812990366213
C07,23,0.004863968844223525
C07,24,0.004628955565019365
C07,25,0.13262487213078716
C07,26,0.23849603311703876
C07,27,0.0019175940288539857
C07,28,0.0028817999158845414
C07,29,0.0023096279462770184
C07,3,0.001262184212900853
C07,2,0.009689652538622301
C07,10,0.003440140437527576
C07,1,0.004468756301331235
C07,0,0.0010004982995940135
C07,7,0.008085950281920383
C07,6,0.0314532778645057
C07,5,8.619362359608055E-4
C07,4,0.0012277497472220884
C07,9,0.019388672947116378
C07,8,0.0038810112668947404
C17,19,0.03844780489182446
C17,17,0.3122185529671646
C17,18,0.021656912870498476
C17,15,0.0041838878368343334
C17,16,0.09770935341987806
C17,13,0.09293639058116482
C17,14,0.005574584279968807
C17,11,0.0011664897626814208
C17,12,0.017244908407092568
C17,21,0.0011179582980492763
C17,20,0.0022166374934001394
C17,22,0.002831665159490772
C17,23,0.06773289135798817
C17,24,0.010893286084089753
C17,25,0.0069046235134773435
C17,26,0.05229604826879912
C17,27,0.24136649583992142
C17,28,0.003564452787621899
C17,29,0.0036002400019151323
C17,3,3.4622574197318734E-4
C17,2,0.001675016587873095
C17,10,0.004066572363840562
C17,1,0.003558702247871018
C17,0,0.0035394507450165424
C17,7,0.0015001332639441745
C17,6,0.0028205162218941774
C17,5,0.003280460214549634
C17,4,0.001604986109462857
C17,9,6.287937015445295E-4
C17,8,0.0036425463580914024
C08,19,0.004160190922947075
C08,17,0.0044691274872916634
C08,18,0.04728184715521559
C08,15,0.0020618978291942554
C08,16,0.0010483245709184516
C08,13,0.025315822773628018
C08,14,0.019871621873512154
C08,11,0.00445649892738695
C08,12,0.005056659355340394
C08,21,8.064410572396845E-4
C08,20,0.0030885077585822364
C08,22,0.4920850784004104
C08,23,0.004412372969108053
C08,24,0.008748976594470242
C08,25,0.0011019973287727835
C08,26,0.0014703464475327396
C08,27,0.0025102552493941315
C08,28,0.010918543170566343
C08,29,0.9855153068587376
C08,3,0.0015117138874439296
C08,2,0.006647308798189128
C08,10,0.4536056446415838
C08,1,0.006867422985860151
C08,0,0.0050787269424544
C08,7,6.866544602913761E-4
C08,6,0.12256824811360967
C08,5,0.0875679856911632
C08,4,0.0017216714511831004
C08,9,9.410732251040148E-4
C08,8,0.09990722738463403
C18,19,0.0023384339794446495
C18,17,0.13157786870743982
C18,18,5.169082271598956E-4
C18,15,0.0011700742843424514
C18,16,0.0010425024470487375
C18,13,0.001060326509553228
C18,14,0.0014787919864158751
C18,11,3.994340794027431E-4
C18,12,0.003584269997733059
C18,21,3.0561995402615287E-4
C18,20,0.0011862313981067564
C18,22,0.08593110039552665
