silver-infovis-topics--userC.txt,lda_35_0.001_0.0001,Score
C05,16,0.005670648482519042
C05,13,0.0014511179640728975
C05,14,0.0029234855156068003
C05,11,0.0018922420913934726
C05,12,5.032922671817534E-4
C05,21,0.0039627139677800086
C05,20,0.001189470997280238
C05,22,0.0016915145025825828
C05,23,0.0020095037563872885
C05,24,0.0014198087111948865
C05,25,0.0033708769219195746
C05,26,0.0010715821138885461
C05,27,0.0015299109050150807
C05,28,0.0017046847178727163
C05,29,5.944207441416908E-4
C05,3,6.768928561384533E-4
C05,2,6.371642986690908E-4
C05,10,0.0014002323060448975
C05,1,9.931386754648457E-4
C05,0,0.1005700707117291
C05,7,0.002487556381197908
C05,30,0.008406719452445281
C05,6,0.015232213525307743
C05,5,0.001635835711984845
C05,32,0.004301602423566388
C05,4,0.002198865521377978
C05,31,4.3563828944836194E-4
C05,9,0.010920198620057461
C05,8,0.0012315031438894788
C19,19,0.0014166882754602262
C19,17,0.16550076157912993
C19,18,0.004369381231091399
C19,33,0.003884777504901434
C19,15,0.0022794227331154604
C19,34,0.0021069373857462905
C19,16,5.124393485991223E-4
C19,13,0.0022314362139547734
C19,14,0.0056625284805296335
C19,11,0.0040329860533528964
C19,12,6.084526638542526E-4
C19,21,0.0056508886468940546
C19,20,0.008833331599960501
C19,22,0.5324493136500197
C19,23,0.04082489108136637
C19,24,0.11296891336478353
C19,25,7.396884284469025E-4
C19,26,0.0016072875438617217
C19,27,0.002418421231966695
C19,28,0.004570324074101631
C19,29,0.0015419044442517358
C19,3,0.0011156799058836054
C19,2,0.0014969507904991012
C19,10,0.2743009860146058
C19,1,0.0014205788455698629
C19,0,0.05354420750696925
C19,7,3.2697325996553574E-4
C19,30,0.0036250099473294525
C19,6,0.0829191699108792
C19,5,0.009383817570464654
C19,32,6.277861323409199E-4
C19,4,8.942250575083775E-4
C19,31,5.187095181495787E-4
C19,9,5.349261390772117E-4
C19,8,0.006975260879407161
C06,19,0.019772220911538033
C06,17,0.0016156328491927694
C06,18,0.12901342964783966
C06,33,0.0020541546210042306
C06,15,0.003292571895884718
