silver-infovis-topics--userG.txt,lda_50_0.0001_0.1,Score
G09,35,0.002574688352029889
G09,36,0.0020592442749483167
G09,33,3.9850935490205546E-4
G09,34,0.0011188349137652
G09,39,6.069073343694863E-4
G09,37,0.005112593264645722
G09,38,0.001742588417424093
G09,43,5.238356098500323E-4
G09,42,0.012224603739316702
G09,41,8.358304691684221E-4
G09,40,1.9011244880538756E-4
G09,22,0.0015926428173872853
G09,23,5.224259201837451E-4
G09,24,0.0012226302627271989
G09,25,0.001315358358814821
G09,26,0.0012896669899308169
G09,27,6.521061481726398E-4
G09,28,0.07173327700482
G09,29,7.50694978274901E-4
G09,3,0.0018668925708339285
G09,2,0.0033907165963332833
G09,1,3.698024004729004E-4
G09,0,0.015228786850097471
G09,30,0.0034677287336854355
G09,7,0.0022297014008366618
G09,6,0.002962662733483896
G09,32,0.0013640487263936027
G09,5,0.0012489853011273782
G09,31,2.9621447288656983E-5
G09,4,0.009827110956253314
G09,9,0.0032784152447016446
G09,8,4.867517522842808E-4
G09,19,3.580705545274645E-4
G09,17,6.155133879449592E-4
G09,18,2.546335027959064E-4
G09,15,0.0012866605335451386
G09,16,0.0017942308791803066
G09,13,4.2947147052519184E-4
G09,14,0.004912008847581798
G09,11,5.831036260534603E-4
G09,12,0.47379407733174267
G09,21,0.0027783962383635557
G09,20,0.0045731206059399995
G09,49,7.769883258107746E-4
G09,48,0.018966492984869722
G09,45,4.2779716269880955E-4
G09,44,3.563193543838838E-4
G09,47,0.0018832833544813656
G09,46,0.004190823303284564
G09,10,2.1609725991672923E-4
G15,35,5.353060662471884E-5
G15,36,0.002188271342977918
G15,33,9.139863029440405E-4
G15,34,6.473078893145883E-4
G15,39,0.004140345085178542
G15,37,0.06189589704030181
G15,38,0.4856042405272194
G15,43,0.013521004752343012
G15,42,0.6315189418705973
G15,41,0.0010371389909000729
G15,40,3.5457258058367965E-4
G15,22,0.48692478702027253
G15,23,7.132707520271422E-4
G15,24,5.18471838788015E-4
G15,25,7.270008327453825E-4
G15,26,0.0036816231817432764
G15,27,2.132458596476775E-4
G15,28,0.17141899959644208
G15,29,0.002325773249472862
G15,3,0.0014564072120255374
G15,2,2.9806072841782454E-4
G15,1,0.13761806240833666
G15,0,3.0463762885096866E-4
G15,30,0.0018845939265014248
G15,7,0.00311454576328834
G15,6,0.00713121394481085
G15,32,0.046925677403452014
G15,5,0.0010710830428166463
G15,31,9.003740715516717E-5
G15,4,3.541109279574445E-4
G15,9,0.003619567700579564
G15,8,0.0010005354025966239
G15,19,0.18665834850076482
G15,17,0.0011872105572005454
G15,18,0.07731453738981305
G15,15,8.719188451470953E-4
G15,16,0.003921954942919804
G15,13,0.058143479533281035
G15,14,0.0019991745080731025
G15,11,2.853374589737016E-4
G15,12,0.001316588909016461
G15,21,0.002570404097357498
G15,20,9.544318921217252E-4
G15,49,2.489211587987943E-4
G15,48,1.1903426859534289E-4
G15,45,0.1602117728121526
G15,44,0.0012505485620077968
G15,47,0.020087157300266074
G15,46,9.120671128727757E-4
G15,10,0.0016626289784588192
G02,35,0.013401612915031686
G02,36,0.005542429729313107
G02,33,0.001878346443516892
G02,34,0.0012167575661198974
G02,39,0.0019605047597184063
G02,37,0.003973789190047627
G02,38,0.01389905907495627
G02,43,0.06689734301727424
G02,42,0.016935158120936936
G02,41,0.0035291397034213903
G02,40,0.9681398773450428
G02,22,0.002842549242757476
G02,23,0.001971212844559344
G02,24,0.002058332457877123
G02,25,0.0017147769790911897
G02,26,8.388720198703769E-4
G02,27,5.386613458031304E-4
G02,28,0.006724145791444963
G02,29,0.0014022287212846832
G02,3,0.004028623456938566
G02,2,6.636281533901597E-4
G02,1,0.07954741823664366
G02,0,0.029557768604575686
G02,30,0.0026838733707966202
G02,7,0.02772142958050666
G02,6,0.002662900746561532
G02,32,0.15924516596727759
G02,5,0.005098859625613619
G02,31,0.010501667292249977
G02,4,0.040170081582240204
G02,9,0.0020617479808638004
G02,8,0.0011943162779869153
G02,19,0.0014680374933794848
G02,17,0.004003574374415823
G02,18,9.410918131711034E-4
G02,15,0.003770411141446055
G02,16,0.0016026238396747937
G02,13,0.006620148896010442
G02,14,0.2931393858447701
G02,11,0.001221976443580576
G02,12,0.08485303870594345
G02,21,0.0058650412719220175
G02,20,0.0021262697998886246
G02,49,0.012672777150972564
G02,48,5.638715108392617E-4
G02,45,2.802375469479784E-4
G02,44,0.007627482191096686
G02,47,0.046283360680152215
G02,46,0.0024092020045118167
G02,10,0.2417576078024568
G14,35,0.003016711009479596
G14,36,0.0011855528749955243
G14,33,0.003874947011018875
G14,34,0.15007365996635602
G14,39,0.0010133363368084122
G14,37,0.001099221705631455
G14,38,0.052084373853531596
G14,43,0.03349884859174497
G14,42,0.009458212314015356
G14,41,0.0019858034418264465
G14,40,4.341881958262112E-4
G14,22,0.0028445798400540357
G14,23,0.005777473840893539
G14,24,0.012682573017100705
G14,25,0.0017573357634369901
G14,26,7.628764696922682E-4
G14,27,8.881851300351285E-4
G14,28,0.0032198792337645543
G14,29,0.0014176530180868396
G14,3,0.0014064971837989201
G14,2,0.002003710893867478
G14,1,0.989561488622344
G14,0,0.002667331400409037
G14,30,0.002524580057689876
G14,7,0.09710229874828355
G14,6,0.003980325100520042
G14,32,0.0017563702875839824
G14,5,0.06897219052040035
G14,31,0.004295817981766899
