silver-infovis-topics--userI.txt,lda_35_0.1_0.01,Score
I13,23,5.190441109308693E-4
I13,24,3.814531344102091E-4
I13,25,0.0015537608137003956
I13,26,0.0029874082652042574
I13,27,0.0027301583576513568
I13,28,0.0019446451518385652
I13,29,2.879954704124191E-4
I13,3,0.0022375865896036113
I13,2,0.0025424679158399916
I13,10,0.007145898734059056
I13,1,6.805362285672357E-4
I13,0,0.07181754790083435
I13,7,0.0059821872804586475
I13,30,0.28527189626836036
I13,6,0.0017549310695812444
I13,5,0.002380058712030646
I13,32,0.002470730320445945
I13,4,0.575800465184038
I13,31,0.001958917095589436
I13,9,0.0022809572063390697
I13,8,4.5869252894270503E-4
I01,19,0.0017435853926242933
I01,17,0.005663359145894253
I01,18,0.329576850945432
I01,33,0.02361667975728128
I01,15,0.008017416743662034
I01,34,0.015089941570065176
I01,16,0.6473396018327827
I01,13,0.00240236986104818
I01,14,0.9520103783259657
I01,11,0.0014910008120478974
I01,12,0.057630198396489994
I01,21,0.006596762344460024
I01,20,0.006089819083693415
I01,22,0.010145357954699978
I01,23,0.002419993172467029
I01,24,0.0056160334491203315
I01,25,0.017043737537392026
I01,26,0.016543728103028777
I01,27,0.0030008507883192235
I01,28,0.007881693797062994
I01,29,0.00604553315212895
I01,3,0.0058332558328620596
I01,2,0.0029741537676661353
I01,10,0.015702284283120226
I01,1,0.00416198450418121
I01,0,0.023498064918161587
I01,7,0.011627460805348065
I01,30,0.004868713050151229
I01,6,0.08063855600470157
I01,5,0.005568193365677668
I01,32,0.003097425865641916
I01,4,0.03851959960982577
I01,31,0.3295472897760109
I01,9,0.04868977176821107
I01,8,0.011326363924808529
I10,19,0.0020585909987212944
I10,17,0.0032696622411706065
I10,18,0.03726803814849003
I10,33,0.2850161258038684
I10,15,0.05457112283021123
I10,34,0.1113941220208691
I10,16,0.005667905321260519
I10,13,0.002587590979760808
I10,14,0.0068964608272052315
I10,11,0.003147359879975656
I10,12,0.00241080907077311
I10,21,0.003669301301015993
I10,20,0.004391125600317905
I10,22,0.079357507935278
I10,23,0.012132649106301028
I10,24,0.0012260417062759604
I10,25,0.004514365125474004
I10,26,0.005220473247571205
I10,27,0.0021479387056201255
I10,28,0.00859895021166217
I10,29,0.301098256843881
I10,3,0.0026668504359702253
I10,2,0.0014202832677177835
I10,10,0.0034061350119890484
I10,1,0.9282778362613309
I10,0,0.002305219784779486
I10,7,0.0032381203504496334
I10,30,0.001257681942860558
I10,6,0.002387871778158474
I10,5,0.032432756114081564
I10,32,0.0033827664143532593
I10,4,0.004037901362940326
I10,31,0.008137098368733834
I10,9,0.06706768700117456
I10,8,0.02489970250496363
I02,19,0.22703542170663465
I02,17,0.9275106363801402
I02,18,0.032992305396826224
I02,33,0.026003141139244217
I02,15,0.002542481028231301
I02,34,0.04012045951180557
I02,16,0.0031808177896942643
I02,13,0.004547999400922681
I02,14,0.003662481390075883
I02,11,0.0020926750900249875
I02,12,0.007356998343382589
I02,21,0.0035893654551343674
I02,20,0.11624319871863252
I02,22,0.011227360809543367
I02,23,0.0012164163558011738
I02,24,0.0011920671734479131
I02,25,0.003745221972872413
I02,26,0.001804117093514379
I02,27,0.0038330352595430375
I02,28,9.244394571970376E-4
I02,29,0.0019897094557743225
I02,3,0.0030755266792231854
I02,2,0.001228794464254047
I02,10,0.7883762674866922
I02,1,0.004369465120787426
I02,0,0.004915382670458553
I02,7,0.0017405094671243144
I02,30,0.02291601293527207
I02,6,8.779520660834342E-4
I02,5,0.003009549297784834
I02,32,0.017836015447890593
I02,4,0.0059022222215137175
I02,31,0.004205764559275073
I02,9,0.0021166222040607755
I02,8,0.0010043731917558328
I11,19,0.0038784218974398017
I11,17,0.021858476672018987
I11,18,0.0020795963507246277
I11,33,3.3408727264633883E-4
I11,15,0.004166444610290892
I11,34,0.2356586121310209
I11,16,0.008832383201011077
I11,13,0.0037212379825881468
I11,14,0.006210338675123407
I11,11,0.41155997382806364
I11,12,0.20023058615583145
I11,21,0.003385165509351473
I11,20,0.012706983031296314
I11,22,0.940492691454461
I11,23,0.0024318714489891206
I11,24,0.0026135597798523217
I11,25,0.0022981142381497065
I11,26,0.5052197217929854
I11,27,0.002467985520104507
I11,28,0.013669589726812408
I11,29,0.00235687110429909
I11,3,0.0037778314428960854
I11,2,0.0015909508131577749
I11,10,0.1092779828043649
I11,1,0.0011024950787570382
I11,0,0.0146614207154362
I11,7,0.004216747563313885
I11,30,0.0019414920760984437
I11,6,0.002269719413854089
I11,5,0.001330963152009837
I11,32,0.002738153123127106
I11,4,0.017850051067866024
I11,31,0.006023617138636001
