silver-infovis-topics--userA.txt,lda_10_0.1_0.001,Score
A20,3,0.03886016825718367
A20,2,0.016635736302839467
A20,1,0.3032984127396143
A20,0,0.017128968709751818
A20,7,0.004932967508963907
A20,6,0.013895083673063495
A20,5,0.00469789771295184
A20,4,0.00888205894531288
A20,9,0.006164124106937274
A20,8,0.005696463323280989
A19,3,0.01920500583267794
A19,2,0.025712672503566184
A19,1,0.02102588176046987
A19,0,0.07871266814248357
A19,7,0.6684211277335154
A19,6,5.462863420671741E-4
A19,5,0.7824567845721332
A19,4,0.09496550661486733
A19,9,0.01930876321334557
A19,8,0.34085511812917796
A18,3,0.010101198518991467
A18,2,0.007067164773604071
A18,1,0.01381731674580938
A18,0,0.004073478873290951
A18,7,0.5863467847877444
A18,6,0.019939159715656747
A18,5,0.014339575763129102
A18,4,0.04991047135740201
A18,9,0.001512520271726912
A18,8,0.004972750743374418
A09,3,0.0017035643070386788
A09,2,0.16969927092071396
A09,1,0.010351790182714772
A09,0,0.003221112424648475
A09,7,0.12219751651784556
A09,6,6.748904856965309E-4
A09,5,0.10188602649051472
A09,4,0.0021975876752542405
A09,9,0.0022853173392803796
A09,8,0.0072105998557818966
A08,3,0.0012730893297679077
A08,2,0.26713346393006226
A08,1,0.03138622820723485
A08,0,0.0020875936362822907
A08,7,0.007449082290393871
A08,6,0.004038195026480932
A08,5,0.3237026286632359
A08,4,0.003163655408445411
A08,9,0.0043563975728015914
A08,8,0.01836863419667805
A07,3,0.03677698099189454
A07,2,0.35773651544525653
A07,1,0.262400340581159
A07,0,0.00242435277183593
A07,7,0.034245672548611
A07,6,0.008922536254215315
A07,5,0.2233967330614313
A07,4,0.010163064299966565
A07,9,0.017782706297678648
A07,8,0.07749544474572005
A02,3,0.012929215209511786
A02,2,0.30953743825322155
A02,1,0.11547650171319387
A02,0,0.035946776722012685
A02,7,0.06833242695875395
A02,6,0.001697387427810487
A02,5,0.041433209795771336
A02,4,0.004192063029234324
A02,9,0.0066215341386960435
A02,8,0.009326108856376322
A11,3,0.42468358682439716
A11,2,0.004491189522607569
A11,1,0.009134504842912413
A11,0,0.07074270773733782
A11,7,0.012306232930504321
A11,6,0.020421807302782816
A11,5,0.061113986625231584
A11,4,0.013991900252814262
A11,9,0.007239067892952402
A11,8,0.0037619823359848095
A01,3,0.03727699555294293
A01,2,0.24943702486109448
A01,1,0.3305025915533108
A01,0,0.005743717419304494
A01,7,0.0732156852182036
A01,6,0.0165532288596556
A01,5,0.02434632893312212
A01,4,0.007989918120463057
A01,9,0.056897990588192324
A01,8,0.09866704136445911
A10,3,0.013588303783083268
A10,2,0.004768122509545218
A10,1,0.005939792421859866
A10,0,0.11778241521982327
A10,7,0.016347150566892878
A10,6,0.0024524773260232303
A10,5,0.9183578541838254
A10,4,0.0012852473317526546
A10,9,0.0026518950706347776
A10,8,0.005452952495372918
A13,3,0.10820919700008202
A13,2,0.014818900340600414
A13,1,0.004424153246028329
A13,0,0.008175218141626672
A13,7,0.0049234338843245585
A13,6,0.13710168009055024
A13,5,0.0434780204401254
A13,4,0.9065638066300398
A13,9,0.0028250334793697295
A13,8,0.009139119490267314
A12,3,0.02801282147547663
A12,2,0.12209857085329738
A12,1,0.22903855702966078
A12,0,0.005316648308532163
A12,7,0.007426024558921901
A12,6,0.011481581951010338
A12,5,0.08311880417785862
A12,4,0.02239956584740497
A12,9,0.04529225958861789
A12,8,0.01783660409689656
A15,3,0.008745601225477862
A15,2,0.24491915088670596
A15,1,0.0793574352410307
A15,0,0.009088745629781802
A15,7,0.044763838043825804
A15,6,0.0024039308931149265
A15,5,0.0640652746795266
A15,4,0.002077881543553201
A15,9,0.011547285035092366
A15,8,0.18158311019206483
A06,3,0.013555282733937406
A06,2,0.20264376625273892
A06,1,0.17833311871261068
A06,0,0.050922653558912574
A06,7,0.3147630058453609
A06,6,0.015675013642385632
