silver-infovis-topics--userD.txt,lda_40_0.001_0.01,Score
D20,19,0.010444848645819025
D20,35,0.0072644589319376205
D20,17,0.002386686847879951
D20,36,0.04715676953535764
D20,18,0.033493588024064866
D20,33,0.004670165365409226
D20,15,0.0032791575115914662
D20,34,0.16114947007271005
D20,16,0.0018273542121294319
D20,39,7.140742914113354E-4
D20,13,0.18659329390612905
D20,14,7.848718383015046E-4
D20,37,0.0056323011711685335
D20,11,0.2393732316218765
D20,38,0.01643116333404666
D20,12,0.002531810544655478
D20,21,7.361851859910882E-4
D20,20,0.14143184788611438
D20,22,0.07830369589538205
D20,23,0.002039953690938848
D20,24,0.011036232954675
D20,25,0.020007942643934813
D20,26,0.022789022415740157
D20,27,0.016617241494072798
D20,28,0.009245964464160723
D20,29,0.0015560926041682012
D20,3,0.009241722439236998
D20,2,0.06416525688963282
D20,10,0.003444571506278628
D20,1,0.0019949706855086347
D20,0,0.0010389733997542962
D20,7,0.002693609992948567
D20,30,0.006476472943577102
D20,6,0.02226730447408401
D20,5,0.03751270133963474
D20,32,0.0015663377702804947
D20,4,0.06511376198964176
D20,31,0.002818236487597411
D20,9,0.03029292829527325
D20,8,0.09942856536872471
D19,19,0.02183421851584454
D19,35,0.002933122407922724
D19,17,0.051330357626529835
D19,36,0.31174485357023946
D19,18,0.0011065265449670227
D19,33,0.0013421506721851852
D19,15,0.0013303569839067785
D19,34,6.443938274513874E-4
D19,16,8.015794136187569E-4
D19,39,2.3620905148700422E-4
D19,13,9.066105792516043E-4
D19,14,6.511055919097996E-4
D19,37,5.075300408504194E-4
D19,11,9.702058485958391E-4
D19,38,0.010383618770192957
D19,12,0.001134359706562751
D19,21,3.556236655238373E-4
D19,20,1.309221165593313E-4
D19,22,8.267677702884971E-4
D19,23,0.0011574090509548405
D19,24,0.03957165703680759
D19,25,0.0021358725354948104
D19,26,0.002149427419581178
D19,27,5.486381137263743E-4
D19,28,0.6858738598764097
D19,29,3.5053381167941713E-4
D19,3,3.6046750137962066E-4
D19,2,5.65212867152484E-4
D19,10,0.02360910763061958
D19,1,1.396180282815501E-4
D19,0,5.322774943107645E-4
D19,7,0.003293581620187116
D19,30,6.929470186262328E-4
D19,6,0.0014435337487216074
D19,5,0.0030455764227957684
D19,32,0.0019825942198908176
D19,4,0.001337926828512357
D19,31,4.616500699754462E-4
D19,9,3.9682913153391345E-4
D19,8,0.01947427629984167
D09,19,0.0012218691646286577
D09,35,0.003217026206272511
D09,17,0.2498545850245562
D09,36,0.0013692009122373667
D09,18,0.03254893956267889
D09,33,0.015181654111990626
D09,15,0.03348916399259165
D09,34,0.004702108215296045
D09,16,0.1097797930699362
D09,39,9.593726528464589E-4
D09,13,0.0024498674037029635
D09,14,7.202115141586793E-4
D09,37,0.02401842597296483
D09,11,0.0014196930859034045
D09,38,7.67854161996497E-4
D09,12,0.0033906592426053853
D09,21,0.004640667023579543
D09,20,0.0018881150199635591
D09,22,7.860840371965281E-4
D09,23,0.0017115579367373197
D09,24,0.002279349931959943
D09,25,0.009103588128583893
D09,26,0.0028855330824636865
D09,27,0.3012131651664059
D09,28,9.952086361333377E-4
D09,29,0.004921470880636081
D09,3,0.0013874887555802608
D09,2,0.0071482490065607135
D09,10,0.8831366815532377
D09,1,0.003324301652596148
D09,0,0.13085921390610622
D09,7,0.0037194007571617724
D09,30,0.0010416413132756867
D09,6,0.07855566803479268
D09,5,0.03950638049953349
D09,32,0.0012934138179210644
D09,4,0.0010044817225408117
D09,31,8.319572988005029E-4
D09,9,6.220890712366172E-4
D09,8,0.0032631652175740024
D08,19,0.2208002747732333
D08,35,3.678252702337702E-4
D08,17,0.001992514443269461
D08,36,0.001825768073759185
D08,18,0.010859853506527382
D08,33,0.0024879289078722357
D08,15,0.002592479511614525
D08,34,0.002128651028491453
D08,16,0.022424615446348894
D08,39,0.011253879189353604
D08,13,0.015355609988294553
D08,14,0.006881971873042245
D08,37,9.680425870801382E-4
D08,11,0.08382537509387891
D08,38,5.128412274241185E-4
D08,12,0.3014523751858887
D08,21,0.34066405033205516
D08,20,9.01553830105322E-4
D08,22,0.8355821207613652
D08,23,0.01858926404989017
D08,24,0.17693948049749073
D08,25,0.008104604546943884
D08,26,0.0019785793662169156
D08,27,0.15724810948422976
D08,28,0.0020748358279702316
D08,29,0.026956925547460715
D08,3,0.0026917520059501635
D08,2,0.0011326610870652082
D08,10,0.004409835581446702
D08,1,0.015490661708921492
D08,0,0.0021241846176654083
D08,7,0.27847470716011036
D08,30,0.011439852239816
D08,6,0.0020268739506950884
D08,5,0.0027538235233528293
D08,32,0.02002784618891614
D08,4,0.00247971980268351
D08,31,0.002075435982637897
D08,9,0.002252162015047902
D08,8,0.001541941371168794
D16,19,0.0061227714514106675
D16,35,0.002893304817785365
D16,17,0.0027154024398311737
D16,36,0.0020273282684278612
D16,18,0.05937368524230009
D16,33,0.015071303217851073
D16,15,0.04995780769099339
D16,34,0.0033969742026684147
D16,16,0.13337931696524669
D16,39,0.0018803974725373346
D16,13,0.18446214593799537
D16,14,7.535949672427449E-4
D16,37,0.004388935311143075
D16,11,0.16404561310878651
D16,38,6.965687616790833E-4
D16,12,0.010282706055500778
D16,21,0.6120970416857429
D16,20,0.8683791275752819
D16,22,0.0012193717221728212
D16,23,0.0015499269896749905
D16,24,0.0029781536443309518
D16,25,0.002106411258163016
D16,26,0.002757055120563736
D16,27,0.2325650826716145
D16,28,0.002892899828260594
D16,29,0.30327874476860345
D16,3,0.001484367729554917
D16,2,0.007103007131484529
D16,10,0.0011722419148702925
D16,1,0.0013487708994122727
D16,0,0.2534986146760727
D16,7,0.002900177874095941
D16,30,0.0013279266512971843
D16,6,0.0012357886732900778
D16,5,0.042660394567978856
D16,32,0.032170163332939816
D16,4,0.003447494658467713
D16,31,6.889841950327283E-4
D16,9,0.003001643501550573
D16,8,0.004356229277895971
D07,19,0.0022972704381379
D07,35,9.421429321637434E-4
D07,17,0.0042277357739542365
D07,36,5.484727303457412E-4
D07,18,0.027859710541874097
